experiment,seed,plasticity_rule,condition,memory,output_target_cosine,from_lap,to_lap,cue_changed,tuning_similarity
cue_schedule,51001,base,no_swap,,,6,7,False,0.9991406798362732
cue_schedule,51001,base,no_swap,,,7,8,False,0.9988594651222229
cue_schedule,51001,base,no_swap,,,8,9,False,0.9994453191757202
cue_schedule,51001,base,no_swap,,,9,10,False,0.9993386268615723
cue_schedule,51001,base,no_swap,,,10,11,False,0.9993962645530701
cue_schedule,51001,base,no_swap,,,11,12,False,0.9994920492172241
cue_schedule,51001,base,no_swap,,,12,13,False,0.9995465874671936
cue_schedule,51001,base,no_swap,,,13,14,False,0.9994664788246155
cue_schedule,51001,base,no_swap,,,14,15,False,0.9997236728668213
cue_schedule,51001,base,no_swap,,,15,16,False,0.9996493458747864
cue_schedule,51001,base,no_swap,,,16,17,False,0.9996755123138428
cue_schedule,51001,base,no_swap,,,17,18,False,0.9997000694274902
cue_schedule,51001,base,no_swap,,,18,19,False,0.9998013973236084
cue_schedule,51001,base,no_swap,,,19,20,False,0.9995779395103455
cue_schedule,51001,base,no_swap,,,20,21,False,0.9997710585594177
cue_schedule,51001,base,no_swap,,,21,22,False,0.9997904300689697
cue_schedule,51001,base,no_swap,,,22,23,False,0.999684751033783
cue_schedule,51001,base,no_swap,,,23,24,False,0.9997960925102234
cue_schedule,51001,base,no_swap,,,24,25,False,0.9996771812438965
cue_schedule,51001,base,no_swap,,,25,26,False,0.9997751116752625
cue_schedule,51001,base,no_swap,,,26,27,False,0.9997526407241821
cue_schedule,51001,base,no_swap,,,27,28,False,0.9998370409011841
cue_schedule,51001,base,no_swap,,,28,29,False,0.9998160600662231
cue_schedule,51001,base,no_swap,,,29,30,False,0.9997215270996094
cue_schedule,51001,base,no_swap,,,30,31,False,0.9997585415840149
cue_schedule,51001,base,no_swap,,,31,32,False,0.9997037649154663
cue_schedule,51001,base,no_swap,,,32,33,False,0.9998109340667725
cue_schedule,51001,base,no_swap,,,33,34,False,0.9997888207435608
cue_schedule,51001,base,no_swap,,,34,35,False,0.9997620582580566
cue_schedule,51001,base,no_swap,,,35,36,False,0.9997391700744629
cue_schedule,51001,base,no_swap,,,36,37,False,0.999836266040802
cue_schedule,51001,base,no_swap,,,37,38,False,0.9997002482414246
cue_schedule,51001,base,no_swap,,,38,39,False,0.9997885823249817
cue_schedule,51001,base,no_swap,,,39,40,False,0.9998037815093994
compatibility,51001,err2,aligned,0,0.07705385982990265,,,,
compatibility,51001,err2,aligned,1,0.08570346236228943,,,,
compatibility,51001,err2,aligned,2,0.00971642043441534,,,,
compatibility,51001,err2,aligned,3,0.022097671404480934,,,,
compatibility,51001,err2,aligned,4,0.0188556257635355,,,,
compatibility,51001,err2,aligned,5,0.08751069754362106,,,,
compatibility,51001,err2,aligned,6,0.3376913070678711,,,,
compatibility,51001,err2,aligned,7,0.25943922996520996,,,,
compatibility,51001,err2,aligned,8,0.3054962754249573,,,,
compatibility,51001,err2,aligned,9,0.057073161005973816,,,,
compatibility,51001,err2,aligned,10,0.09467613697052002,,,,
compatibility,51001,err2,aligned,11,0.007828780449926853,,,,
compatibility,51001,err2,aligned,12,0.012249966152012348,,,,
compatibility,51001,err2,aligned,13,0.03985796123743057,,,,
compatibility,51001,err2,aligned,14,0.02649841271340847,,,,
compatibility,51001,err2,aligned,15,0.0472150556743145,,,,
compatibility,51001,err2,aligned,16,0.02141689509153366,,,,
compatibility,51001,err2,aligned,17,0.11115246266126633,,,,
compatibility,51001,err2,aligned,18,0.03907937556505203,,,,
compatibility,51001,err2,aligned,19,0.13371922075748444,,,,
compatibility,51001,err2,aligned,20,0.02764875441789627,,,,
compatibility,51001,err2,aligned,21,0.015393073670566082,,,,
compatibility,51001,err2,aligned,22,0.44709378480911255,,,,
compatibility,51001,err2,aligned,23,0.0902675986289978,,,,
compatibility,51001,err2,aligned,24,0.07650204747915268,,,,
compatibility,51001,err2,aligned,25,0.03178209066390991,,,,
compatibility,51001,err2,aligned,26,0.3802133798599243,,,,
compatibility,51001,err2,aligned,27,0.024883868172764778,,,,
compatibility,51001,err2,fixed_permutation,0,0.11436112225055695,,,,
compatibility,51001,err2,fixed_permutation,1,0.06362888962030411,,,,
compatibility,51001,err2,fixed_permutation,2,0.1321604996919632,,,,
compatibility,51001,err2,fixed_permutation,3,0.007797961588948965,,,,
compatibility,51001,err2,fixed_permutation,4,0.09953581541776657,,,,
compatibility,51001,err2,fixed_permutation,5,0.04418746009469032,,,,
compatibility,51001,err2,fixed_permutation,6,0.3001142740249634,,,,
compatibility,51001,err2,fixed_permutation,7,0.353081077337265,,,,
compatibility,51001,err2,fixed_permutation,8,0.2377719134092331,,,,
compatibility,51001,err2,fixed_permutation,9,0.0285346657037735,,,,
compatibility,51001,err2,fixed_permutation,10,0.13147808611392975,,,,
compatibility,51001,err2,fixed_permutation,11,0.008956113830208778,,,,
compatibility,51001,err2,fixed_permutation,12,0.012383941560983658,,,,
compatibility,51001,err2,fixed_permutation,13,0.03158869966864586,,,,
compatibility,51001,err2,fixed_permutation,14,0.17312771081924438,,,,
compatibility,51001,err2,fixed_permutation,15,0.12931692600250244,,,,
compatibility,51001,err2,fixed_permutation,16,0.008264152333140373,,,,
compatibility,51001,err2,fixed_permutation,17,0.08660838752985,,,,
compatibility,51001,err2,fixed_permutation,18,0.028406884521245956,,,,
compatibility,51001,err2,fixed_permutation,19,0.1191408634185791,,,,
compatibility,51001,err2,fixed_permutation,20,0.13593126833438873,,,,
compatibility,51001,err2,fixed_permutation,21,0.024789273738861084,,,,
compatibility,51001,err2,fixed_permutation,22,0.3396143913269043,,,,
compatibility,51001,err2,fixed_permutation,23,0.00933170411735773,,,,
compatibility,51001,err2,fixed_permutation,24,0.2150169312953949,,,,
compatibility,51001,err2,fixed_permutation,25,0.016658572480082512,,,,
compatibility,51001,err2,fixed_permutation,26,0.2625693678855896,,,,
compatibility,51001,err2,fixed_permutation,27,0.1719132661819458,,,,
compatibility,51001,err2,matched_decoder,0,0.07705385982990265,,,,
compatibility,51001,err2,matched_decoder,1,0.08570346981287003,,,,
compatibility,51001,err2,matched_decoder,2,0.009716407395899296,,,,
compatibility,51001,err2,matched_decoder,3,0.02209767885506153,,,,
compatibility,51001,err2,matched_decoder,4,0.018855616450309753,,,,
compatibility,51001,err2,matched_decoder,5,0.08751071989536285,,,,
compatibility,51001,err2,matched_decoder,6,0.3376913368701935,,,,
compatibility,51001,err2,matched_decoder,7,0.25943922996520996,,,,
compatibility,51001,err2,matched_decoder,8,0.30549630522727966,,,,
compatibility,51001,err2,matched_decoder,9,0.057073142379522324,,,,
compatibility,51001,err2,matched_decoder,10,0.0946761891245842,,,,
compatibility,51001,err2,matched_decoder,11,0.007828781381249428,,,,
compatibility,51001,err2,matched_decoder,12,0.012249967083334923,,,,
compatibility,51001,err2,matched_decoder,13,0.039857953786849976,,,,
compatibility,51001,err2,matched_decoder,14,0.026498401537537575,,,,
compatibility,51001,err2,matched_decoder,15,0.047215063124895096,,,,
compatibility,51001,err2,matched_decoder,16,0.021416889503598213,,,,
compatibility,51001,err2,matched_decoder,17,0.11115247011184692,,,,
compatibility,51001,err2,matched_decoder,18,0.03907935693860054,,,,
compatibility,51001,err2,matched_decoder,19,0.13371920585632324,,,,
compatibility,51001,err2,matched_decoder,20,0.027648737654089928,,,,
compatibility,51001,err2,matched_decoder,21,0.015393080189824104,,,,
compatibility,51001,err2,matched_decoder,22,0.4470938742160797,,,,
compatibility,51001,err2,matched_decoder,23,0.09026765823364258,,,,
compatibility,51001,err2,matched_decoder,24,0.0765020027756691,,,,
compatibility,51001,err2,matched_decoder,25,0.03178209438920021,,,,
compatibility,51001,err2,matched_decoder,26,0.3802133798599243,,,,
compatibility,51001,err2,matched_decoder,27,0.02488386258482933,,,,
compatibility,51001,err2,random_content,0,0.09344394505023956,,,,
compatibility,51001,err2,random_content,1,0.05948539823293686,,,,
compatibility,51001,err2,random_content,2,0.015436354093253613,,,,
compatibility,51001,err2,random_content,3,0.08918189257383347,,,,
compatibility,51001,err2,random_content,4,0.014922239817678928,,,,
compatibility,51001,err2,random_content,5,0.061384834349155426,,,,
compatibility,51001,err2,random_content,6,0.27549731731414795,,,,
compatibility,51001,err2,random_content,7,0.297466516494751,,,,
compatibility,51001,err2,random_content,8,0.3126469850540161,,,,
compatibility,51001,err2,random_content,9,0.03762803226709366,,,,
compatibility,51001,err2,random_content,10,0.0383218377828598,,,,
compatibility,51001,err2,random_content,11,0.019084274768829346,,,,
compatibility,51001,err2,random_content,12,0.0031599088106304407,,,,
compatibility,51001,err2,random_content,13,0.007386406417936087,,,,
compatibility,51001,err2,random_content,14,0.00655813654884696,,,,
compatibility,51001,err2,random_content,15,0.06540946662425995,,,,
compatibility,51001,err2,random_content,16,0.020054882392287254,,,,
compatibility,51001,err2,random_content,17,0.07974819839000702,,,,
compatibility,51001,err2,random_content,18,0.05384749174118042,,,,
compatibility,51001,err2,random_content,19,0.10350791364908218,,,,
compatibility,51001,err2,random_content,20,0.01142863743007183,,,,
compatibility,51001,err2,random_content,21,0.004566792864352465,,,,
compatibility,51001,err2,random_content,22,0.3843367099761963,,,,
compatibility,51001,err2,random_content,23,0.054997775703668594,,,,
compatibility,51001,err2,random_content,24,0.10686323791742325,,,,
compatibility,51001,err2,random_content,25,0.012315058149397373,,,,
compatibility,51001,err2,random_content,26,0.38034293055534363,,,,
compatibility,51001,err2,random_content,27,0.018475240096449852,,,,
compatibility,51001,err2,no_plasticity,0,0.028790868818759918,,,,
compatibility,51001,err2,no_plasticity,1,0.04686494544148445,,,,
compatibility,51001,err2,no_plasticity,2,0.014615424908697605,,,,
compatibility,51001,err2,no_plasticity,3,0.004496984649449587,,,,
compatibility,51001,err2,no_plasticity,4,0.006062517873942852,,,,
compatibility,51001,err2,no_plasticity,5,0.0835847556591034,,,,
compatibility,51001,err2,no_plasticity,6,0.27989721298217773,,,,
compatibility,51001,err2,no_plasticity,7,0.2893228232860565,,,,
compatibility,51001,err2,no_plasticity,8,0.2827610969543457,,,,
compatibility,51001,err2,no_plasticity,9,0.013219967484474182,,,,
compatibility,51001,err2,no_plasticity,10,0.02123669907450676,,,,
compatibility,51001,err2,no_plasticity,11,0.0024491017684340477,,,,
compatibility,51001,err2,no_plasticity,12,0.0022408596705645323,,,,
compatibility,51001,err2,no_plasticity,13,0.0184505395591259,,,,
compatibility,51001,err2,no_plasticity,14,0.0162957813590765,,,,
compatibility,51001,err2,no_plasticity,15,0.08358342945575714,,,,
compatibility,51001,err2,no_plasticity,16,0.001095494139008224,,,,
compatibility,51001,err2,no_plasticity,17,0.10247363895177841,,,,
compatibility,51001,err2,no_plasticity,18,0.010663884691894054,,,,
compatibility,51001,err2,no_plasticity,19,0.05592461675405502,,,,
compatibility,51001,err2,no_plasticity,20,0.013199002481997013,,,,
compatibility,51001,err2,no_plasticity,21,0.0021125662606209517,,,,
compatibility,51001,err2,no_plasticity,22,0.3798385262489319,,,,
compatibility,51001,err2,no_plasticity,23,0.01687796786427498,,,,
compatibility,51001,err2,no_plasticity,24,0.17445683479309082,,,,
compatibility,51001,err2,no_plasticity,25,0.008884637616574764,,,,
compatibility,51001,err2,no_plasticity,26,0.3627971112728119,,,,
compatibility,51001,err2,no_plasticity,27,0.05544903129339218,,,,
cue_schedule,51001,err2,swap,,,1,2,False,0.8726115226745605
cue_schedule,51001,err2,swap,,,2,3,False,0.9077277183532715
cue_schedule,51001,err2,swap,,,3,4,False,0.9337139129638672
cue_schedule,51001,err2,swap,,,4,5,False,0.957672655582428
cue_schedule,51001,err2,swap,,,5,6,False,0.9655322432518005
cue_schedule,51001,err2,swap,,,6,7,False,0.957969605922699
cue_schedule,51001,err2,swap,,,7,8,False,0.9533798694610596
cue_schedule,51001,err2,swap,,,8,9,False,0.9423468112945557
cue_schedule,51001,err2,swap,,,9,10,False,0.9721323251724243
cue_schedule,51001,err2,swap,,,10,11,True,0.302677184343338
cue_schedule,51001,err2,swap,,,11,12,False,0.9564900398254395
cue_schedule,51001,err2,swap,,,12,13,False,0.9672846794128418
