generation,candidate,composite_score,ca3_inputs_per_unit,k_ca3,beta_ca3,beta_ca1,alpha
8,5,0.8048739195532267,9.0,4.0,95.32457647323608,24.46261577606201,0.057780514478683466
8,6,0.7802591552999284,10.0,5.0,52.64424381256103,15.126597213745114,0.07081141901016236
8,7,0.6533375925819078,2.0,6.0,36.14373741149902,70.42810373306274,0.05415627491474151
9,0,0.7333111696993863,18.0,2.0,90.82948741912841,19.513193893432614,0.023256157159805294
9,1,0.7939913076162338,6.0,4.0,119.19683036804199,24.472519683837888,0.07318463903665542
9,2,0.8055599547315526,8.0,5.0,93.24534950256347,20.589365291595456,0.08058019858598708
9,3,0.7771244512884704,19.0,5.0,102.44133529663085,26.053206253051755,0.04388970565795898
9,4,0.7613142598558356,4.0,6.0,182.11140362024307,32.45865099430084,0.0690135834813118
9,5,0.7988034619446154,9.0,5.0,145.11565980911254,20.547792243957517,0.03452410531044006
9,6,0.8161431226906952,10.0,4.0,66.49283943176269,30.343854951858518,0.09663242270052433
9,7,0.7848493355291861,11.0,4.0,135.92919764518737,12.988936233520505,0.05381443631649017
10,0,0.7883945055140389,11.0,2.0,91.98315916061401,26.097780990600583,0.061428709149360654
10,1,0.7999151087248767,11.0,5.0,154.45630786418914,15.779222774505612,0.05903087091445922
10,2,0.7882225684324901,12.0,5.0,110.15126285552978,34.563539552688596,0.06516061854362487
10,3,0.7815281852307142,15.0,4.0,124.25659594535827,13.060199546813962,0.10328991767764091
10,4,0.7778827603216524,14.0,4.0,105.8615737915039,38.81328486204147,0.07051632386446
10,5,0.7986073295496127,6.0,3.0,103.42033443450927,27.622871923446652,0.06325332653522492
10,6,0.8031341465314229,11.0,4.0,107.41395053863525,22.888453531265256,0.10354529452323913
10,7,0.7560006385158609,15.0,3.0,104.34318599700927,38.48983310461044,0.08218394872546196
11,0,0.800324232622429,11.0,5.0,149.79968366622924,16.429967212677,0.06478465330600738
11,1,0.7893551611017298,11.0,3.0,132.72503433227538,27.046640443801877,0.06191394162178039
11,2,0.79390710901331,7.0,5.0,108.9258581161499,18.529445457458493,0.07395133507251739
11,3,0.7843186489299492,10.0,5.0,151.2207090616226,12.695867347717282,0.06908470821380615
11,4,0.7532729103388608,17.0,3.0,191.78115246295928,17.914430427551267,0.04604986143112182
11,5,0.7970761811954002,13.0,5.0,95.8589726448059,26.010160970687863,0.0836444607079029
11,6,0.8035135014189615,3.0,5.0,115.61834511756896,23.414236831665036,0.12055418622493744
11,7,0.7715885346465642,12.0,3.0,146.9475853204727,14.774076271057126,0.07885207515954971
12,0,0.8028395364461121,9.0,5.0,133.44209251403808,23.70817594528198,0.07412532699108124
12,1,0.7878310474863758,5.0,3.0,124.2082375049591,14.027709293365476,0.11083607804775238
12,2,0.7953007070223489,7.0,5.0,92.91369972229003,19.18875865936279,0.11883428525924683
12,3,0.7702505483009197,7.0,4.0,145.31229791641235,26.723977851867673,0.0785664541721344
12,4,0.7937754677622406,7.0,5.0,114.14517221450805,14.728969860076901,0.11268372368812561
12,5,0.6940949886154245,2.0,4.0,56.945026493072504,25.99194936752319,0.12432083320617676
12,6,0.8048363093535104,8.0,4.0,99.96507701873779,15.301009941101071,0.09161237248498946
12,7,0.8045435613393783,5.0,3.0,93.4001594543457,24.314144182205197,0.07700239551067352
13,0,0.7919254536761177,7.0,5.0,87.2407561302185,15.496990013122556,0.07637450379133225
13,1,0.8021116427138999,8.0,3.0,107.83840475082397,26.670038032531735,0.09507229701429605
13,2,0.8062500288530631,9.0,4.0,83.70742855072021,18.417174148559567,0.07089205515384674
13,3,0.7702036722721877,3.0,5.0,66.44714889526367,15.434550571441648,0.08523470368981362
13,4,0.7622264258949846,5.0,4.0,124.84865961074829,8.015186119079587,0.07317617964744567
13,5,0.8062635769005174,9.0,5.0,112.45380339622497,15.305802154541013,0.1023998139500618
13,6,0.8034731171528499,9.0,4.0,100.1989441871643,24.596280384063718,0.08865710106492042
13,7,0.7613104449819635,1.0,4.0,92.13477191925048,13.250488567352292,0.0926481776945293
14,0,0.7960588695605596,5.0,5.0,84.72696123123168,20.21107130050659,0.08065507692098617
14,1,0.7969242365934232,11.0,4.0,142.76205537319183,15.753697681426999,0.09034947269409895
14,2,0.7930521224604713,7.0,5.0,75.38205919265747,19.83254127502441,0.11128150057792663
14,3,0.7986948719289568,5.0,4.0,103.01562128067016,29.383180665969846,0.07358114850521087
14,4,0.7992113711657347,13.0,5.0,111.77428183555602,16.650761890411374,0.08976287246495485
14,5,0.7629497611081159,9.0,4.0,103.5107642173767,6.424547958374021,0.10186480563879013
14,6,0.7892457137946729,7.0,4.0,97.00040636062622,20.570439624786374,0.10170078557729721
14,7,0.798584721993517,13.0,5.0,106.72386465072631,18.369495201110837,0.08103326839208602
15,0,0.7969075385067198,12.0,5.0,117.45532569885253,14.628366756439206,0.07745259237289429
15,1,0.8030816458551971,8.0,4.0,99.43956432342529,24.176698255538938,0.08327186834812164
15,2,0.7971776668009936,13.0,5.0,119.45229468345642,18.04238014221191,0.07317998987436294
15,3,0.7853306696812311,13.0,5.0,138.24142274856567,26.10842280387878,0.09666131344437599
15,4,0.7952548442063506,12.0,5.0,73.59405574798583,12.7607720375061,0.08771513906121253
15,5,0.8024776501125759,11.0,4.0,113.4691554069519,24.885199594497678,0.07676018309593201
15,6,0.8079943575682463,11.0,5.0,99.15719566345214,18.484839725494382,0.08801386673748493
15,7,0.7976333534276044,13.0,5.0,114.69278631210327,21.390332508087155,0.09280099580809474
16,0,0.8016324174624901,11.0,5.0,120.81399855613708,23.647892999649045,0.07384357285499572
16,1,0.8052897504082432,13.0,5.0,87.02135858535766,16.02239303588867,0.09367824514210224
16,2,0.8097123163276247,9.0,5.0,93.86199293136596,20.409874248504636,0.07117181104421616
16,3,0.8106000966275179,10.0,4.0,111.04762134552001,21.28830127716064,0.08369681593775749
16,4,0.8049957967687535,8.0,5.0,98.93151817321777,19.706816005706784,0.06927100551128387
16,5,0.8042614125322411,11.0,4.0,108.69793472290038,21.58446006774902,0.0681207491159439
16,6,0.8008622713442201,9.0,4.0,114.39840493202209,23.05361084938049,0.07624137830734252
16,7,0.8113054249684014,8.0,4.0,95.46385822296142,19.724540042877194,0.08779223953187465
17,0,0.803429414431254,10.0,4.0,104.50037775039672,18.112510967254636,0.0922965270075947
17,1,0.7972276528014076,12.0,4.0,106.44925651550292,20.22027902603149,0.08764439505338668
17,2,0.7853357896319141,7.0,4.0,88.89728126525878,21.95486121177673,0.08705202881991864
17,3,0.8088729405403137,8.0,4.0,100.67835149765014,21.64896659851074,0.09591456335783005
