plasticity_rule,varied_parameter,multiplier,actual_value,seed,clean_score,clean_fidelity,clean_position_accuracy,clean_cue_accuracy,mec_degraded_score,lec_degraded_score,ae_validation_mse,composite_score
base,beta_ca3,0.3,78.28676908493043,42002,0.5714838290214539,0.5944514870643616,0.12,1.0,0.5283333333333334,0.8423165678977966,8.677082951180637e-05,0.6473779100841945
base,beta_ca3,0.3,78.28676908493043,42003,0.5685087895393371,0.6255263686180115,0.08,1.0,0.5233333333333333,0.8247671574354172,0.0001881804346339777,0.6388697601026958
base,beta_ca3,0.5,130.47794847488404,42001,0.6787523206075031,0.8562569618225098,0.18,1.0,0.5233333333333333,0.9111991971731186,0.00011946443555643782,0.7044282837046516
base,beta_ca3,0.5,130.47794847488404,42002,0.6484685715039571,0.7654057145118713,0.18,1.0,0.5266666666666667,0.9215559015671412,8.677082951180637e-05,0.698897046579255
base,beta_ca3,0.5,130.47794847488404,42003,0.6766364018122356,0.8299092054367065,0.2,1.0,0.525,0.918527697523435,0.0001881804346339777,0.7067213664452234
base,beta_ca3,0.7,182.66912786483766,42001,0.6926810383796692,0.8780431151390076,0.2,1.0,0.5233333333333333,0.9270438551902771,0.00011946443555643782,0.7143527423010931
base,beta_ca3,0.7,182.66912786483766,42002,0.6901174354553223,0.8303523063659668,0.24,1.0,0.5300000000000001,0.9353094299634298,8.677082951180637e-05,0.7184756218062507
base,beta_ca3,0.7,182.66912786483766,42003,0.7023782634735106,0.8871347904205322,0.22,1.0,0.5283333333333334,0.9346888909737269,0.0001881804346339777,0.7218001625935235
base,beta_ca3,1.0,260.9558969497681,42001,0.7076945273081462,0.8830835819244385,0.24,1.0,0.5283333333333333,0.931381161014239,0.00011946443555643782,0.7224696738852394
base,beta_ca3,1.0,260.9558969497681,42002,0.7033770513534545,0.8501311540603638,0.26,1.0,0.535,0.9399609168370565,8.677082951180637e-05,0.7261126560635036
base,beta_ca3,1.0,260.9558969497681,42003,0.690660315354665,0.8919809460639954,0.18,1.0,0.5316666666666666,0.9374676545461019,0.0001881804346339777,0.7199315455224777
base,beta_ca3,1.5,391.43384542465213,42001,0.7078474728266398,0.8835424184799194,0.24,1.0,0.53,0.9319351265827814,0.00011946443555643782,0.723260866469807
