plasticity_rule,plasticity_label,varied_parameter,multiplier,evolved_value,actual_value,fitness,clean_score,mec_degraded_score,lec_degraded_score
err2,Error-driven,beta_ca3,0.3,49.61400566101074,14.88420169830322,0.6311135729705845,0.6231944505373638,0.5211111111111112,0.749035157263279
err2,Error-driven,beta_ca3,0.5,49.61400566101074,24.80700283050537,0.7685614438851675,0.8433430777655707,0.5433333333333333,0.9190079205565982
err2,Error-driven,beta_ca3,0.7,49.61400566101074,34.729803962707514,0.8237809913246719,0.9451427234543694,0.565,0.9612002505196465
err2,Error-driven,beta_ca3,1.0,49.61400566101074,49.61400566101074,0.838451959380397,0.9765055804782444,0.5661111111111111,0.9727391865518359
err2,Error-driven,beta_ca3,1.5,49.61400566101074,74.4210084915161,0.8302890547778871,0.962865806420644,0.5605555555555556,0.9674458023574618
err2,Error-driven,beta_ca3,2.0,49.61400566101074,99.22801132202147,0.811305204740277,0.9574059902297125,0.5572222222222223,0.9192874017688965
err2,Error-driven,beta_ca3,3.0,49.61400566101074,148.8420169830322,0.7962656647849965,0.9331516800986396,0.5483333333333333,0.9073119809230169
err2,Error-driven,beta_ca3,9.0,49.61400566101074,446.52605094909666,0.7796776139956932,0.9036183611551919,0.5444444444444444,0.8909700363874435
err2,Error-driven,beta_ca1,0.1,61.913451480865476,6.191345148086548,0.7223929505436509,0.7363829988903469,0.5427777777777778,0.888018074962828
err2,Error-driven,beta_ca1,0.3,61.913451480865476,18.574035444259643,0.7849892339662269,0.8575190753406948,0.5538888888888889,0.9435597376690971
err2,Error-driven,beta_ca1,0.5,61.913451480865476,30.956725740432738,0.809680133064588,0.9073012084431119,0.56,0.9617391907506518
err2,Error-driven,beta_ca1,0.7,61.913451480865476,43.33941603660583,0.8288794993691974,0.9501187464925978,0.5666666666666668,0.9698530849483279
err2,Error-driven,beta_ca1,1.0,61.913451480865476,61.913451480865476,0.838451959380397,0.9765055804782444,0.5661111111111111,0.9727391865518359
err2,Error-driven,beta_ca1,1.5,61.913451480865476,92.8701772212982,0.8294111153152253,0.965952582889133,0.5577777777777778,0.9645029852787653
err2,Error-driven,beta_ca1,2.0,61.913451480865476,123.82690296173095,0.7937939796845118,0.9162560240427653,0.5572222222222223,0.9079036927885479
err2,Error-driven,beta_ca1,3.0,61.913451480865476,185.7403544425964,0.7026069594533354,0.8026346800062392,0.5116666666666666,0.7935195316871008
err2,Error-driven,beta_ca1,9.0,61.913451480865476,557.2210633277892,0.557279747945291,0.6138724870151944,0.43888888888888894,0.6190778679317899
err2,Error-driven,alpha,0.1,0.027140734910964956,0.002714073491096496,0.7404257964867131,0.7712944096989102,0.5422222222222223,0.9077607575390075
err2,Error-driven,alpha,0.3,0.027140734910964956,0.008142220473289486,0.7903504003198059,0.8659448472658794,0.5544444444444445,0.9506619092490939
err2,Error-driven,alpha,0.5,0.027140734910964956,0.013570367455482478,0.8175687727663252,0.9280171264542475,0.56,0.9646891918447283
err2,Error-driven,alpha,0.7,0.027140734910964956,0.018998514437675466,0.8324157265601334,0.9616956480344135,0.5644444444444444,0.9711070872015424
err2,Error-driven,alpha,1.0,0.027140734910964956,0.027140734910964956,0.838451959380397,0.9765055804782444,0.5661111111111111,0.9727391865518359
err2,Error-driven,alpha,1.5,0.027140734910964956,0.040711102366447434,0.8331238445970747,0.967247467305925,0.5633333333333334,0.9687907331519656
err2,Error-driven,alpha,2.0,0.027140734910964956,0.05428146982192991,0.8247268156652097,0.9488013580110337,0.5633333333333335,0.9620457556512622
err2,Error-driven,alpha,3.0,0.027140734910964956,0.08142220473289487,0.7612949923895024,0.8459106225437588,0.5444444444444446,0.8935299101803037
err2,Error-driven,alpha,9.0,0.027140734910964956,0.24426661419868462,0.49641601814164044,0.4876036964522468,0.4322222222222221,0.5694221357504526
