root_seed,condition,memory_index,cosine,mse,topk,identity
51001,fixed_permutation,22,4.8808573154121465e-05,0.23637446761131287,0.0,0.0
51001,fixed_permutation,23,0.2682153293497206,0.2600118815898895,0.2,0.0
51001,fixed_permutation,24,0.22742492408557066,0.14887811243534088,0.2,0.0
51001,fixed_permutation,25,0.21628448970283598,0.17229899764060974,0.0,0.0
51001,fixed_permutation,26,9.257631926218437e-05,0.22405438125133514,0.0,0.0
51001,fixed_permutation,27,0.13438601533430647,0.19625961780548096,0.0,0.0
51001,matched_decoder,0,0.8809715384848861,0.027504432946443558,0.8,1.0
51001,matched_decoder,1,0.7546427638818085,0.06476469337940216,0.6,1.0
51001,matched_decoder,2,0.7446233063554265,0.04460195079445839,0.6,1.0
51001,matched_decoder,3,0.7403635546385381,0.06859059631824493,0.8,1.0
51001,matched_decoder,4,0.7153292955457556,0.05049668624997139,0.6,1.0
51001,matched_decoder,5,0.9338326662609804,0.014660272747278214,1.0,1.0
51001,matched_decoder,6,0.5291263265003598,0.111101433634758,0.4,0.0
51001,matched_decoder,7,0.7387069122893823,0.06213600933551788,0.8,1.0
51001,matched_decoder,8,0.7693174975909817,0.0549590028822422,0.6,1.0
51001,matched_decoder,9,0.5003795623081336,0.1139763668179512,0.4,0.0
51001,matched_decoder,10,0.8456448489062591,0.03531906381249428,0.8,1.0
51001,matched_decoder,11,0.82201668992597,0.03449903801083565,0.8,1.0
51001,matched_decoder,12,0.865213695628441,0.025641031563282013,0.8,1.0
51001,matched_decoder,13,0.772124283986933,0.044455789029598236,0.6,1.0
51001,matched_decoder,14,0.9485881042691844,0.010291311889886856,1.0,1.0
51001,matched_decoder,15,0.7621278388186904,0.04991937801241875,0.8,1.0
51001,matched_decoder,16,0.8802074988616931,0.02643069438636303,0.8,1.0
51001,matched_decoder,17,0.7987431854588551,0.04001685976982117,0.8,1.0
51001,matched_decoder,18,0.8375390936156688,0.04108072817325592,0.6,1.0
51001,matched_decoder,19,0.8311964575760492,0.04023749753832817,0.8,1.0
51001,matched_decoder,20,0.7336790255329045,0.06501374393701553,0.6,1.0
51001,matched_decoder,21,0.7577995119092609,0.04647683724761009,0.6,1.0
51001,matched_decoder,22,0.9277988705497819,0.015765903517603874,1.0,1.0
51001,matched_decoder,23,0.8137016473000889,0.05001359432935715,1.0,1.0
51001,matched_decoder,24,0.7413967412602223,0.055093515664339066,0.6,1.0
51001,matched_decoder,25,0.8929625153471327,0.023918814957141876,0.8,1.0
51001,matched_decoder,26,0.919826160646752,0.015609822236001492,0.8,1.0
51001,matched_decoder,27,0.8112404757893026,0.03422042727470398,0.8,1.0
51001,random_content,0,0.16976962277911936,0.18747848272323608,0.2,0.0
51001,random_content,1,0.33481004226001676,0.16059860587120056,0.4,0.0
51001,random_content,2,0.22237059212440907,0.14094924926757812,0.2,0.0
51001,random_content,3,0.557117536478429,0.09605836123228073,0.6,1.0
51001,random_content,4,0.05872616616984831,0.14435723423957825,0.0,0.0
51001,random_content,5,0.18435742729255183,0.16928154230117798,0.2,0.0
51001,random_content,6,0.19214173050116667,0.16833466291427612,0.2,0.0
51001,random_content,7,0.39657974404475876,0.11364404857158661,0.4,0.0
51001,random_content,8,0.3750147044101505,0.13388501107692719,0.4,0.0
51001,random_content,9,0.2337248145042728,0.1512255221605301,0.2,0.0
51001,random_content,10,0.000509320038600718,0.23612245917320251,0.0,0.0
51001,random_content,11,0.34115520586018794,0.122712142765522,0.2,0.0
51001,random_content,12,0.2735076762831369,0.11637994647026062,0.2,0.0
51001,random_content,13,0.22107385500100424,0.1417061686515808,0.2,0.0
51001,random_content,14,0.003719190054560007,0.2339625209569931,0.0,0.0
51001,random_content,15,0.33686332316081397,0.1610988825559616,0.4,0.0
51001,random_content,16,0.16364240797316354,0.20665332674980164,0.2,0.0
51001,random_content,17,0.27518670030632375,0.13228948414325714,0.2,0.0
51001,random_content,18,0.2711610516598252,0.18106183409690857,0.0,0.0
51001,random_content,19,0.538553887983242,0.10192012041807175,0.4,0.0
51001,random_content,20,0.17181597924902026,0.20253324508666992,0.2,0.0
51001,random_content,21,0.18997357978994323,0.17002755403518677,0.2,0.0
51001,random_content,22,0.18772700017771873,0.15743789076805115,0.2,0.0
51001,random_content,23,0.3810676670498337,0.13078857958316803,0.4,0.0
51001,random_content,24,0.2325341363553056,0.1350906491279602,0.2,0.0
51001,random_content,25,0.19676757860561264,0.1710878312587738,0.0,0.0
51001,random_content,26,0.16855276973318786,0.186702162027359,0.0,0.0
51001,random_content,27,0.06384719176732291,0.18920308351516724,0.0,0.0
51001,no_plasticity,0,0.29179211185734283,0.10000000149011612,0.2,1.0
51001,no_plasticity,1,0.12431846384161215,0.10000000149011612,0.0,0.0
51001,no_plasticity,2,0.13923550523999906,0.10000000149011612,0.0,0.0
51001,no_plasticity,3,0.10776821618557114,0.10000000149011612,0.0,0.0
51001,no_plasticity,4,0.049659101961602364,0.10000000149011612,0.0,0.0
51001,no_plasticity,5,0.0983343977284328,0.10000000149011612,0.0,0.0
51001,no_plasticity,6,0.13226472639784415,0.10000000149011612,0.0,0.0
51001,no_plasticity,7,0.1205700595168972,0.10000000149011612,0.0,0.0
51001,no_plasticity,8,0.0932124282684076,0.10000000149011612,0.0,0.0
51001,no_plasticity,9,0.15948088922051132,0.10000000149011612,0.2,0.0
51001,no_plasticity,10,0.21809106724154453,0.10000000149011612,0.2,0.0
51001,no_plasticity,11,0.16765898218499065,0.10000000149011612,0.2,0.0
51001,no_plasticity,12,0.07404186368134391,0.10000000149011612,0.0,0.0
51001,no_plasticity,13,0.08803301804120639,0.10000000149011612,0.0,0.0
51001,no_plasticity,14,0.160316052012513,0.10000000149011612,0.2,0.0
51001,no_plasticity,15,0.0869195238767861,0.10000000149011612,0.0,0.0
51001,no_plasticity,16,0.15956704621884102,0.10000000149011612,0.2,0.0
51001,no_plasticity,17,0.13788767159468868,0.10000000149011612,0.2,0.0
51001,no_plasticity,18,0.11051890852890374,0.10000000149011612,0.0,0.0
51001,no_plasticity,19,0.1327442609684435,0.10000000149011612,0.0,0.0
51001,no_plasticity,20,0.0891525329490201,0.10000000149011612,0.0,0.0
51001,no_plasticity,21,0.26288555559471405,0.10000000149011612,0.2,0.0
51001,no_plasticity,22,0.07285740369840836,0.10000000149011612,0.0,0.0
51001,no_plasticity,23,0.10809083112223257,0.10000000149011612,0.0,0.0
