root_seed,unit,spatial_stability,cue_modulation
51004,46,0.5386595129966736,0.10704953968524933
51004,47,-0.2582141160964966,0.40218284726142883
51004,48,0.12258532643318176,0.22267986834049225
51004,49,0.5505907535552979,0.09513993561267853
51005,0,0.34597426652908325,0.15121357142925262
51005,1,0.37662187218666077,0.2682318389415741
51005,2,0.08669934421777725,0.13179714977741241
51005,3,-0.16282124817371368,0.1343601495027542
51005,4,0.3188364803791046,0.13223691284656525
51005,5,-0.5295999050140381,0.6663742065429688
51005,6,-0.07456348091363907,0.1321830153465271
51005,7,0.2904007136821747,0.11387129127979279
51005,8,0.2713526487350464,0.1415734887123108
51005,9,0.6696903705596924,0.13459432125091553
51005,10,0.40348103642463684,0.2126902937889099
51005,11,0.502515971660614,0.06698925793170929
51005,12,0.6199869513511658,0.18115532398223877
51005,13,0.2274460792541504,0.23367470502853394
51005,14,0.34559333324432373,0.10448531061410904
51005,15,-0.03562479093670845,0.1666075736284256
51005,16,0.08413607627153397,0.16934236884117126
51005,17,0.5269014835357666,0.11653941869735718
51005,18,-0.29161569476127625,0.30704447627067566
51005,19,0.5203456878662109,0.2341683954000473
51005,20,0.007261997554451227,0.00015559172607026994
51005,21,0.35604068636894226,0.07335765659809113
51005,22,0.43858128786087036,0.19966267049312592
51005,23,-0.24729710817337036,0.2259332239627838
51005,24,0.7356979846954346,0.13919106125831604
51005,25,0.16032101213932037,0.1457512527704239
51005,26,0.8755014538764954,0.0199742428958416
51005,27,-5.408731702009181e-29,1.6469170842692183e-20
51005,28,0.16412220895290375,0.17821180820465088
51005,29,0.4275076389312744,0.0923675149679184
51005,30,0.40787768363952637,0.13842053711414337
51005,31,0.41481319069862366,0.22300393879413605
51005,32,0.6162846088409424,0.13967746496200562
51005,33,0.20497964322566986,0.1799829602241516
51005,34,-0.4027501940727234,0.6057974100112915
51005,35,0.4327116310596466,0.167353555560112
51005,36,-0.03489190712571144,0.17976318299770355
51005,37,0.5690376162528992,0.08775482326745987
51005,38,0.5168876647949219,0.12022650986909866
51005,39,-0.046312473714351654,0.18106885254383087
51005,40,-0.021887879818677902,0.14192049205303192
51005,41,0.2011958807706833,0.1825667917728424
51005,42,0.28964900970458984,0.16569232940673828
51005,43,0.7894662618637085,0.16417427361011505
51005,44,0.12071488052606583,0.11750812828540802
51005,45,0.18058070540428162,0.26777637004852295
51005,46,0.18234111368656158,0.03822845593094826
51005,47,-0.22670185565948486,0.2535521388053894
51005,48,-0.02315797470510006,0.0244172103703022
51005,49,0.7027115821838379,0.1314697116613388
51006,0,-0.1144033819437027,0.09010724723339081
51006,1,0.7316351532936096,0.1639273464679718
51006,2,0.03576682507991791,0.20447510480880737
51006,3,-0.42892730236053467,0.5273226499557495
51006,4,0.4742295742034912,0.13724902272224426
51006,5,0.13123057782649994,0.15927064418792725
51006,6,0.31012651324272156,0.169283926486969
51006,7,0.2257966250181198,0.15168896317481995
51006,8,0.13276547193527222,0.0676022469997406
51006,9,0.17155010998249054,0.09119915217161179
51006,10,0.38642850518226624,0.13251560926437378
51006,11,0.38812336325645447,0.16285917162895203
51006,12,0.15974026918411255,0.1867072880268097
51006,13,-0.20604440569877625,0.13597315549850464
51006,14,0.40494444966316223,0.2246214896440506
51006,15,0.11382538825273514,0.13906362652778625
51006,16,-0.07905706763267517,0.2244129180908203
51006,17,0.08361951261758804,0.23021502792835236
51006,18,0.30835744738578796,0.1605098694562912
51006,19,0.04910177364945412,0.18188968300819397
51006,20,0.4142732620239258,0.1530304253101349
51006,21,0.08665488660335541,0.22149726748466492
51006,22,0.5494541525840759,0.17412254214286804
51006,23,-0.05087326094508171,0.18333786725997925
51006,24,0.8318790793418884,0.02467011846601963
51006,25,0.31001657247543335,0.2200564742088318
51006,26,0.5498966574668884,0.06517760455608368
51006,27,0.19620802998542786,0.13786913454532623
51006,28,0.5377326011657715,0.13626863062381744
51006,29,-0.06041396036744118,0.1609819531440735
51006,30,0.35659199953079224,0.06921163201332092
51006,31,0.5240811109542847,0.10985752195119858
51006,32,0.14983797073364258,0.1290050745010376
51006,33,-0.5254209637641907,0.46361950039863586
51006,34,0.7863709926605225,0.12523013353347778
51006,35,-0.46087846159935,0.3711385428905487
51006,36,-0.15239815413951874,0.20204231142997742
51006,37,-0.3585566282272339,0.299739807844162
51006,38,0.09461952745914459,0.2540619373321533
51006,39,-0.017996221780776978,0.20142540335655212
51006,40,-0.47058483958244324,0.6394556760787964
51006,41,0.1833811104297638,0.13293148577213287
51006,42,0.2798648476600647,0.2558099925518036
51006,43,-0.14582088589668274,0.11986453086137772
51006,44,-2.885416494508296e-27,4.1297867729936476e-20
51006,45,0.3293052911758423,0.12765419483184814
51006,46,0.3504064083099365,0.12907905876636505
51006,47,0.5944944620132446,0.13584479689598083
51006,48,-0.2230413258075714,0.2895396053791046
51006,49,-0.0679660439491272,0.03080262616276741
51007,0,0.12499555200338364,0.1965615600347519
51007,1,-0.25571268796920776,0.3270397484302521
51007,2,-0.47969308495521545,0.6164681911468506
51007,3,0.34295853972435,0.1726263165473938
51007,4,0.1387823224067688,0.15599516034126282
51007,5,0.09614957123994827,0.1689041554927826
51007,6,0.10256008803844452,0.14597368240356445
51007,7,-0.461727499961853,0.20609520375728607
51007,8,-0.0674801617860794,0.2606019079685211
51007,9,0.42656469345092773,0.13543273508548737
51007,10,0.6834303736686707,0.11089407652616501
51007,11,-0.2617378830909729,0.19594961404800415
51007,12,0.1972757875919342,0.10029292851686478
51007,13,-0.06713081151247025,0.03379157558083534
51007,14,0.39022332429885864,0.17074774205684662
51007,15,0.4665720462799072,0.1484832912683487
51007,16,0.7043293714523315,0.10390810668468475
51007,17,0.6068631410598755,0.1678168624639511
51007,18,0.30077892541885376,0.13415294885635376
51007,19,0.12842048704624176,0.13218125700950623
51007,20,0.1428544670343399,0.29016292095184326
51007,21,0.19065657258033752,0.10530158132314682
51007,22,-0.207339346408844,0.13343244791030884
51007,23,-0.09990571439266205,0.30119624733924866
51007,24,0.1417156606912613,0.06334636360406876
51007,25,0.4016958177089691,0.1355636566877365
51007,26,0.6619521379470825,0.13580869138240814
51007,27,0.05512577295303345,0.23269174993038177
51007,28,0.19592489302158356,0.1365254521369934
51007,29,0.9230417013168335,0.05312976986169815
51007,30,0.5783903002738953,0.2124987244606018
51007,31,0.2684890925884247,0.138709157705307
51007,32,0.3947048485279083,0.17031177878379822
51007,33,0.34129399061203003,0.1075202152132988
51007,34,0.032822590321302414,0.25347429513931274
51007,35,0.25916680693626404,0.24127794802188873
51007,36,-0.4105367958545685,0.18336345255374908
51007,37,-0.041314300149679184,0.19491857290267944
51007,38,0.4235692620277405,0.20503683388233185
51007,39,0.33179351687431335,0.2014629989862442
51007,40,0.22642944753170013,0.1923835128545761
51007,41,-0.20928074419498444,0.24037812650203705
51007,42,-1.0102534535694855e-20,6.747231523767262e-16
51007,43,0.4844903349876404,0.14123111963272095
51007,44,0.15206876397132874,0.17083138227462769
51007,45,0.43731483817100525,0.13764983415603638
51007,46,0.00908616092056036,0.0654745027422905
51007,47,0.17801038920879364,0.14391948282718658
