generation,candidate,composite_score,ca3_inputs_per_unit,k_ca3,beta_ca3,beta_ca1,alpha
6,1,0.6935758020701233,19.0,5.0,258.3198076248169,8.801869678497312,0.03583805394172668
6,2,0.6935913991707343,12.0,3.0,209.6015685558319,5.0,0.01389337611198424
6,3,0.6904394174063647,23.0,6.0,254.52192125320434,11.52722768783569,0.005
6,4,0.691165600352817,4.0,2.0,242.90777740478515,41.55681247189641,0.005
6,5,0.6736665110455619,18.0,8.0,124.79854521751403,29.48330335617065,0.005
6,6,0.6977121553156111,6.0,3.0,162.38985744714736,5.0,0.005
6,7,0.6833267308606041,12.0,8.0,181.74630043506622,20.948571491241452,0.03084204030036926
7,0,0.6710561888526986,32.0,3.0,300.0,30.236118364334104,0.07549279463291168
7,1,0.7034545918747229,10.0,4.0,300.0,5.0,0.0062603456974029414
7,2,0.6940140977612247,10.0,3.0,255.01682815551757,22.104459333419797,0.005
7,3,0.6685073972410626,30.0,4.0,300.0,5.0,0.06798709762096405
7,4,0.6961904809430793,12.0,5.0,192.21496579647064,5.0,0.005
7,5,0.6992019601883711,10.0,5.0,225.88724074363708,5.0,0.010891704082489004
7,6,0.6824163930725168,24.0,5.0,167.80907121896743,37.02428750991821,0.005
7,7,0.6894211256945574,21.0,5.0,228.46754012107849,14.776083755493161,0.01669409704208373
8,0,0.6877619861894183,9.0,4.0,206.9143527507782,23.027557659149167,0.005
8,1,0.6941138796453122,11.0,4.0,281.2577229499817,13.041750717163083,0.005
8,2,0.6841289819390685,11.0,4.0,120.54565963745117,42.38746874332428,0.07909236532449722
8,3,0.692604832428473,35.0,4.0,126.18810830116271,8.517264652252194,0.1283759845495224
8,4,0.6908980302898972,8.0,4.0,177.5962941110134,6.193644332885739,0.005
8,5,0.6903778173084612,16.0,2.0,143.9495032787323,11.8905966758728,0.012879560708999621
8,6,0.7199026670941601,1.0,2.0,291.57841262817385,5.0,0.005
8,7,0.6788215705200478,14.0,6.0,225.92724857330322,18.715190219879148,0.005
9,0,0.6905567559489496,3.0,3.0,284.286215877533,5.741133022308347,0.033840982437133786
9,1,0.7029908209597622,15.0,6.0,240.70451078414916,5.0,0.024248473167419432
9,2,0.6683243682870158,8.0,2.0,176.48588193058967,5.0,0.05399522912502289
9,3,0.6994427659555718,11.0,4.0,202.23490295410156,5.0,0.005
9,4,0.6842208775546815,19.0,3.0,285.7534628868103,6.342052745819089,0.030035678863525386
9,5,0.6791659631552521,4.0,2.0,191.2417280435562,5.0,0.005
9,6,0.6922497332979131,12.0,3.0,185.1576286315918,5.0,0.03477976751327514
9,7,0.706394918318148,2.0,4.0,263.45068035125735,5.0,0.009295974493026729
10,0,0.6749073617546646,20.0,5.0,294.1504722595215,28.896828222274777,0.006917761087417595
10,1,0.6940648771215369,9.0,5.0,118.53091654777526,15.51451139450073,0.05181024205684662
10,2,0.6956966130380277,12.0,6.0,286.41089019775393,5.0,0.032939646959304805
10,3,0.6907537413526464,12.0,8.0,267.76506719589236,5.0,0.005
10,4,0.6953655180003908,11.0,6.0,300.0,6.920646953582761,0.013621125936508174
10,5,0.7014343165909803,9.0,6.0,291.2013298034668,5.0,0.0624525500535965
10,6,0.6924192766127764,16.0,4.0,266.84783754348757,5.0,0.028101371049880974
