experiment,seed,encoder_validation_mse,plasticity_rule,key_mode,dropped_fraction,mask_index,dropped_units,lec_cue_accuracy,lec_mec_cosine,mec_position_accuracy,mec_cue_accuracy
mec_degradation,51002,0.026176869869232178,base,normal,0.75,1,19,,,0.08,1.0
lec_degradation,51002,0.026176869869232178,base,normal,0.9,0,22,1.0,0.797889769077301,,
mec_degradation,51002,0.026176869869232178,base,normal,0.9,0,22,,,0.04,1.0
lec_degradation,51002,0.026176869869232178,base,normal,0.9,1,22,1.0,0.797889769077301,,
mec_degradation,51002,0.026176869869232178,base,normal,0.9,1,22,,,0.06,1.0
lec_degradation,51002,0.026176869869232178,base,dense,0.0,0,0,0.5,0.3501855731010437,,
mec_degradation,51002,0.026176869869232178,base,dense,0.0,0,0,,,0.02,0.5
lec_degradation,51002,0.026176869869232178,base,dense,0.0,1,0,0.5,0.3501855731010437,,
mec_degradation,51002,0.026176869869232178,base,dense,0.0,1,0,,,0.02,0.5
lec_degradation,51002,0.026176869869232178,base,dense,0.25,0,6,0.5,0.3501855731010437,,
mec_degradation,51002,0.026176869869232178,base,dense,0.25,0,6,,,0.02,0.5
lec_degradation,51002,0.026176869869232178,base,dense,0.25,1,6,0.5,0.3501855731010437,,
mec_degradation,51002,0.026176869869232178,base,dense,0.25,1,6,,,0.02,0.5
lec_degradation,51002,0.026176869869232178,base,dense,0.5,0,12,0.5,0.3501855731010437,,
mec_degradation,51002,0.026176869869232178,base,dense,0.5,0,12,,,0.02,0.5
lec_degradation,51002,0.026176869869232178,base,dense,0.5,1,12,0.5,0.3501855731010437,,
mec_degradation,51002,0.026176869869232178,base,dense,0.5,1,12,,,0.02,0.5
lec_degradation,51002,0.026176869869232178,base,dense,0.75,0,19,0.5,0.3501855731010437,,
mec_degradation,51002,0.026176869869232178,base,dense,0.75,0,19,,,0.02,0.5
lec_degradation,51002,0.026176869869232178,base,dense,0.75,1,19,0.5,0.3501855731010437,,
mec_degradation,51002,0.026176869869232178,base,dense,0.75,1,19,,,0.02,0.5
lec_degradation,51002,0.026176869869232178,base,dense,0.9,0,22,0.5,0.3501855731010437,,
mec_degradation,51002,0.026176869869232178,base,dense,0.9,0,22,,,0.02,0.5
lec_degradation,51002,0.026176869869232178,base,dense,0.9,1,22,0.5,0.3501855731010437,,
mec_degradation,51002,0.026176869869232178,base,dense,0.9,1,22,,,0.02,0.5
lec_degradation,51002,0.026176869869232178,err2,normal,0.0,0,0,1.0,0.8321356177330017,,
mec_degradation,51002,0.026176869869232178,err2,normal,0.0,0,0,,,0.5,1.0
lec_degradation,51002,0.026176869869232178,err2,normal,0.0,1,0,1.0,0.8321356177330017,,
mec_degradation,51002,0.026176869869232178,err2,normal,0.0,1,0,,,0.5,1.0
lec_degradation,51002,0.026176869869232178,err2,normal,0.25,0,6,1.0,0.8009281158447266,,
mec_degradation,51002,0.026176869869232178,err2,normal,0.25,0,6,,,0.42,1.0
lec_degradation,51002,0.026176869869232178,err2,normal,0.25,1,6,1.0,0.8228948712348938,,
mec_degradation,51002,0.026176869869232178,err2,normal,0.25,1,6,,,0.42,1.0
