generation,candidate,composite_mse,K_ca1,beta_latent,beta_output
18,6,0.001237846037838608,5.0,4.245254993438721,25.205007158219814
19,0,0.001607986108865589,5.0,4.3524956703186035,25.678287968039513
19,1,0.0012169426093654085,5.0,4.186661243438721,24.838224425911903
19,2,0.0016661921593671043,5.0,5.2074384689331055,25.211658366024494
19,3,0.0013354640104807913,5.0,4.4504475593566895,25.17221787944436
19,4,0.00201064367138315,5.0,4.7371602058410645,26.92494660615921
19,5,0.001228059195758154,5.0,3.657717704772949,24.37486432492733
19,6,0.0012256590901718785,5.0,4.270951747894287,24.968745280057192
20,0,0.0012069367027531068,5.0,3.8249683380126953,24.608163349330425
20,1,0.0012075680133420974,5.0,3.8223958015441895,24.61463261395693
20,2,0.0015683100694635261,5.0,4.222598075866699,25.57578220963478
20,3,0.001227137914005046,5.0,3.603823184967041,24.929290390573442
20,4,0.0014305433918101091,5.0,3.474435806274414,25.39629753679037
20,5,0.0012995008825479697,5.0,4.686524868011475,24.368520230054855
20,6,0.0012030876726688196,5.0,3.988642692565918,24.90164490416646
21,0,0.001203641266329214,5.0,3.9711570739746094,24.780748821794987
21,1,0.0012330662187499304,5.0,4.249563217163086,24.457980021834373
21,2,0.0012127553345635533,5.0,3.786337375640869,24.53709751367569
21,3,0.0012248414083539199,5.0,3.7283754348754883,24.23095315694809
21,4,0.0012402251983682315,5.0,4.268777370452881,24.287662506103516
21,5,0.0012357057421468198,5.0,4.332709312438965,24.883335726335645
21,6,0.001221675668299819,5.0,3.6252570152282715,24.743799585849047
22,0,0.0012001039964767795,5.0,3.841991424560547,25.010011116974056
22,1,0.001200527020652468,5.0,3.8878774642944336,24.84828998334706
22,2,0.0012391025278096397,5.0,3.519876003265381,24.608166851103306
22,3,0.001206552959047258,5.0,3.699166774749756,24.944944442249835
22,4,0.0011957393726333976,5.0,3.9053916931152344,24.97562562348321
22,5,0.0012072708632331342,5.0,4.069807529449463,24.984448498580605
22,6,0.0020651936162418374,5.0,3.2520341873168945,24.43426925688982
23,0,0.0012043789320159703,5.0,3.9623546600341797,24.79183090850711
23,1,0.0011959818560474862,5.0,3.952505588531494,25.448032282292843
23,2,0.0011960233678109944,5.0,3.9355015754699707,25.317525044083595
23,3,0.0012122404489976664,5.0,4.186108112335205,24.967903669457883
23,4,0.0012171282529986154,5.0,4.178261756896973,25.072010457515717
23,5,0.0012081966754825164,5.0,3.7237119674682617,25.20418843254447
23,6,0.0011957258878586192,5.0,3.9046669006347656,25.269030146300793
24,0,0.0011902502349888284,5.0,3.8536882400512695,25.44606924057007
24,1,0.0011928466944179188,5.0,3.9106154441833496,25.520141273736954
24,2,0.0011952201408954959,5.0,3.943450450897217,25.10068171657622
24,3,0.0011901759717147797,5.0,3.9186453819274902,25.31775638461113
24,4,0.0011959913632987689,5.0,3.8280773162841797,25.373936742544174
24,5,0.0011941109454104055,5.0,3.838658332824707,25.511547587811947
24,6,0.001206557285816719,5.0,4.00280237197876,24.84690710902214
25,0,0.0011960223879820357,5.0,3.872215747833252,25.213484913110733
25,1,0.0011992851893107097,5.0,3.9888930320739746,25.249545443803072
25,2,0.0012137408484704792,5.0,4.087419509887695,25.29362538829446
25,3,0.001204765741325294,5.0,3.9681458473205566,25.547914244234562
25,4,0.0012079894077032804,5.0,3.880438804626465,25.819021686911583
25,5,0.0011965684534516186,5.0,3.8158822059631348,24.99064456555061
25,6,0.0012486818013712764,5.0,4.075074195861816,25.55754978209734
26,0,0.001198364916490391,5.0,3.787350654602051,25.161476973444223
26,1,0.0011985045275650918,5.0,3.8635849952697754,24.974619862623513
