root_seed,key_mode,fraction,mask_index,output_cosine,identity,key_cosine,dropped_units
51018,dense,0.9,1,0.2923865307651031,0.02,0.9999999999999999,45
51018,dense,0.9,2,0.2923865307651031,0.02,0.9999999999999999,45
51018,dense,0.9,3,0.2923865307651031,0.02,0.9999999999999999,45
51018,dense,0.9,4,0.2923865307651031,0.02,0.9999999999999999,45
51018,dense,0.9,5,0.2923865307651031,0.02,0.9999999999999999,45
51018,dense,0.9,6,0.2923865307651031,0.02,0.9999999999999999,45
51018,dense,0.9,7,0.2923865307651031,0.02,0.9999999999999999,45
51018,dense,0.9,8,0.2923865307651031,0.02,0.9999999999999999,45
51018,dense,0.9,9,0.2923865307651031,0.02,0.9999999999999999,45
51018,dense,0.9,10,0.2923865307651031,0.02,0.9999999999999999,45
51018,dense,0.9,11,0.2923865307651031,0.02,0.9999999999999999,45
51018,identity,0.0,0,0.9623838633718163,0.92,1.0,0
51018,identity,0.0,1,0.9623838633718163,0.92,1.0,0
51018,identity,0.0,2,0.9623838633718163,0.92,1.0,0
51018,identity,0.0,3,0.9623838633718163,0.92,1.0,0
51018,identity,0.0,4,0.9623838633718163,0.92,1.0,0
51018,identity,0.0,5,0.9623838633718163,0.92,1.0,0
51018,identity,0.0,6,0.9623838633718163,0.92,1.0,0
51018,identity,0.0,7,0.9623838633718163,0.92,1.0,0
51018,identity,0.0,8,0.9623838633718163,0.92,1.0,0
51018,identity,0.0,9,0.9623838633718163,0.92,1.0,0
51018,identity,0.0,10,0.9623838633718163,0.92,1.0,0
51018,identity,0.0,11,0.9623838633718163,0.92,1.0,0
51018,identity,0.25,0,0.9149208623372452,0.78,0.8875199088029422,12
51018,identity,0.25,1,0.9490474877538031,0.8,0.9100280247384269,12
51018,identity,0.25,2,0.9522374805597724,0.9,0.9085762966872672,12
51018,identity,0.25,3,0.8932162283752174,0.62,0.8873602463453412,12
51018,identity,0.25,4,0.8888668770398226,0.68,0.8901875685543494,12
51018,identity,0.25,5,0.8932342956385203,0.72,0.9025816927489929,12
51018,identity,0.25,6,0.8735601679645403,0.66,0.8870498343385488,12
51018,identity,0.25,7,0.9192491976932016,0.76,0.8982882158868577,12
51018,identity,0.25,8,0.9067482591485613,0.68,0.8971946532823678,12
51018,identity,0.25,9,0.9426757129289963,0.86,0.8949026818124944,12
51018,identity,0.25,10,0.9049805705515281,0.68,0.8996940938775027,12
51018,identity,0.25,11,0.8773794804230829,0.66,0.881163667866496,12
51018,identity,0.5,0,0.5947985580501112,0.22,0.737788344784602,25
51018,identity,0.5,1,0.6242735384767786,0.24,0.7354015697706278,25
51018,identity,0.5,2,0.611521446177527,0.24,0.7372265209059495,25
51018,identity,0.5,3,0.6494690003820673,0.3,0.7386994622467894,25
51018,identity,0.5,4,0.7213803822502455,0.4,0.7340446149844994,25
51018,identity,0.5,5,0.6634250599898783,0.34,0.7235679057796438,25
51018,identity,0.5,6,0.6917820258280056,0.5,0.7091481683969686,25
51018,identity,0.5,7,0.8217803297126401,0.54,0.7666535008295603,25
51018,identity,0.5,8,0.7614717609647795,0.44,0.7398621935002551,25
51018,identity,0.5,9,0.710509656387142,0.4,0.753948049626677,25
51018,identity,0.5,10,0.7754105746265924,0.46,0.7674732641756371,25
51018,identity,0.5,11,0.6513159410140217,0.32,0.7622096692981252,25
51018,identity,0.75,0,0.5334565690538189,0.08,0.6105980420394878,38
51018,identity,0.75,1,0.4947627604365881,0.18,0.61697774957807,38
51018,identity,0.75,2,0.4671829234919977,0.08,0.5799290146993257,38
51018,identity,0.75,3,0.5552900221295157,0.22,0.6254140121020753,38
51018,identity,0.75,4,0.5025406825121729,0.08,0.6231778390785108,38
51018,identity,0.75,5,0.5207811248479874,0.14,0.6329570644127238,38
51018,identity,0.75,6,0.4070564505153337,0.04,0.5935911337147343,38
51018,identity,0.75,7,0.5305887285549241,0.12,0.6234424778055817,38
51018,identity,0.75,8,0.4851637266470165,0.08,0.6002997279682225,38
51018,identity,0.75,9,0.3995019044162907,0.06,0.5878465259972363,38
51018,identity,0.75,10,0.3892894450859055,0.04,0.5753839202920683,38
51018,identity,0.75,11,0.4803942075642789,0.06,0.6676041723717034,38
51018,identity,0.9,0,0.42747384159249713,0.06,0.6557672969103333,45
51018,identity,0.9,1,0.3599583278851802,0.02,0.6238841497197214,45
51018,identity,0.9,2,0.39524371462836927,0.06,0.640920104837206,45
51018,identity,0.9,3,0.4145131380503014,0.04,0.6370411287395186,45
51018,identity,0.9,4,0.3679086862511152,0.04,0.6216397752697893,45
51018,identity,0.9,5,0.4042978241627562,0.08,0.6103398950843001,45
51018,identity,0.9,6,0.3890930682971594,0.02,0.6301701655468195,45
51018,identity,0.9,7,0.39878588209052074,0.04,0.6326734997615919,45
51018,identity,0.9,8,0.39274580691224975,0.04,0.6218288134854408,45
51018,identity,0.9,9,0.37677885486542123,0.02,0.63200294358693,45
51018,identity,0.9,10,0.37649956274168983,0.04,0.6267505123232948,45
51018,identity,0.9,11,0.3863734037309069,0.04,0.624300626392256,45
51019,normal,0.0,0,0.9420178838304072,0.72,1.0,0
51019,normal,0.0,1,0.9420178838304072,0.72,1.0,0
51019,normal,0.0,2,0.9420178838304072,0.72,1.0,0
51019,normal,0.0,3,0.9420178838304072,0.72,1.0,0
51019,normal,0.0,4,0.9420178838304072,0.72,1.0,0
51019,normal,0.0,5,0.9420178838304072,0.72,1.0,0
51019,normal,0.0,6,0.9420178838304072,0.72,1.0,0
51019,normal,0.0,7,0.9420178838304072,0.72,1.0,0
51019,normal,0.0,8,0.9420178838304072,0.72,1.0,0
51019,normal,0.0,9,0.9420178838304072,0.72,1.0,0
51019,normal,0.0,10,0.9420178838304072,0.72,1.0,0
51019,normal,0.0,11,0.9420178838304072,0.72,1.0,0
51019,normal,0.25,0,0.8424404617758339,0.4,0.7412895634410992,12
51019,normal,0.25,1,0.835530298091992,0.38,0.6547300815157598,12
51019,normal,0.25,2,0.8684358124173097,0.32,0.779211809314165,12
51019,normal,0.25,3,0.8407532480088338,0.4,0.7756347617518332,12
51019,normal,0.25,4,0.8302499384196128,0.36,0.7064204010287517,12
51019,normal,0.25,5,0.8345185550590623,0.28,0.7227256464554414,12
51019,normal,0.25,6,0.7938015673397905,0.3,0.7650981505588809,12
51019,normal,0.25,7,0.8407055224103328,0.5,0.7822504525286346,12
51019,normal,0.25,8,0.8527985299287466,0.32,0.7568801370453718,12
51019,normal,0.25,9,0.8648104224174865,0.5,0.7468073495429084,12
51019,normal,0.25,10,0.8761796412673465,0.38,0.7500962730410476,12
51019,normal,0.25,11,0.8475147389119075,0.4,0.7267427955592964,12
51019,normal,0.5,0,0.5767600213596673,0.2,0.6021854615940422,25
51019,normal,0.5,1,0.7304242604674832,0.3,0.665826255338163,25
51019,normal,0.5,2,0.7869213621029677,0.16,0.5166097227318724,25
51019,normal,0.5,3,0.7587958206899166,0.28,0.5934715433381957,25
