rule,seed,capacity,plasticity_label,ae_validation_mse,clean_pair_accuracy,degraded_pair_accuracy,collision_rate,recruitment_fraction,fraction_spatial,fraction_cue-general,fraction_cue-specific,fraction_mixed,fraction_neutral
base,53001,74,Instructive-driven,4.324848479342336e-09,0.0945945945945946,0.04054054054054054,0.6891891891891893,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,75,Instructive-driven,4.324848479342336e-09,0.08,0.02,0.6933333333333334,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,76,Instructive-driven,4.324848479342336e-09,0.07894736842105263,0.019736842105263157,0.6973684210526316,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,77,Instructive-driven,4.324848479342336e-09,0.1038961038961039,0.025974025974025976,0.7012987012987013,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,78,Instructive-driven,4.324848479342336e-09,0.08974358974358974,0.022435897435897436,0.7051282051282051,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,79,Instructive-driven,4.324848479342336e-09,0.06329113924050633,0.0189873417721519,0.7088607594936709,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,80,Instructive-driven,4.324848479342336e-09,0.0625,0.01875,0.7125,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,81,Instructive-driven,4.324848479342336e-09,0.06172839506172839,0.018518518518518517,0.7160493827160495,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,82,Instructive-driven,4.324848479342336e-09,0.06097560975609756,0.018292682926829267,0.7195121951219512,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,83,Instructive-driven,4.324848479342336e-09,0.060240963855421686,0.018072289156626505,0.7228915662650602,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,84,Instructive-driven,4.324848479342336e-09,0.05952380952380952,0.017857142857142856,0.7261904761904762,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,85,Instructive-driven,4.324848479342336e-09,0.058823529411764705,0.01764705882352941,0.7294117647058824,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,86,Instructive-driven,4.324848479342336e-09,0.05813953488372093,0.01744186046511628,0.7325581395348837,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,87,Instructive-driven,4.324848479342336e-09,0.05747126436781609,0.017241379310344827,0.735632183908046,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,88,Instructive-driven,4.324848479342336e-09,0.056818181818181816,0.022727272727272728,0.7272727272727273,0.44,0.86,0.0,0.0,0.14,0.0
base,53001,89,Instructive-driven,4.324848479342336e-09,0.06741573033707865,0.025280898876404494,0.7303370786516854,0.44,0.84,0.0,0.0,0.16,0.0
base,53001,90,Instructive-driven,4.324848479342336e-09,0.06666666666666667,0.025,0.7333333333333334,0.44,0.84,0.0,0.0,0.16,0.0
base,53002,1,Instructive-driven,4.053712387985797e-08,1.0,1.0,0.0,0.04,0.64,0.0,0.0,0.16,0.2
base,53002,2,Instructive-driven,4.053712387985797e-08,1.0,0.875,0.0,0.06,0.88,0.0,0.0,0.02,0.1
base,53002,3,Instructive-driven,4.053712387985797e-08,1.0,0.5833333333333334,0.0,0.08,0.92,0.0,0.0,0.02,0.06
base,53002,4,Instructive-driven,4.053712387985797e-08,1.0,0.375,0.25,0.08,0.9,0.0,0.0,0.06,0.04
base,53002,5,Instructive-driven,4.053712387985797e-08,1.0,0.4,0.19999999999999996,0.1,0.92,0.0,0.0,0.06,0.02
base,53002,6,Instructive-driven,4.053712387985797e-08,1.0,0.25,0.16666666666666663,0.14,0.9,0.0,0.0,0.08,0.02
base,53002,7,Instructive-driven,4.053712387985797e-08,1.0,0.32142857142857145,0.2857142857142857,0.14,0.92,0.0,0.0,0.06,0.02
base,53002,8,Instructive-driven,4.053712387985797e-08,0.75,0.1875,0.25,0.14,0.9,0.0,0.0,0.1,0.0
base,53002,9,Instructive-driven,4.053712387985797e-08,0.7777777777777778,0.4166666666666667,0.33333333333333337,0.14,0.88,0.0,0.0,0.12,0.0
base,53002,10,Instructive-driven,4.053712387985797e-08,0.8,0.45,0.30000000000000004,0.16,0.86,0.0,0.0,0.14,0.0
base,53002,11,Instructive-driven,4.053712387985797e-08,0.6363636363636364,0.18181818181818182,0.36363636363636365,0.16,0.86,0.0,0.0,0.14,0.0
base,53002,12,Instructive-driven,4.053712387985797e-08,0.5833333333333334,0.1875,0.41666666666666663,0.16,0.86,0.0,0.0,0.12,0.02
base,53002,13,Instructive-driven,4.053712387985797e-08,0.46153846153846156,0.21153846153846154,0.46153846153846156,0.16,0.88,0.0,0.0,0.12,0.0
base,53002,14,Instructive-driven,4.053712387985797e-08,0.5,0.2857142857142857,0.5,0.16,0.86,0.0,0.0,0.14,0.0
base,53002,15,Instructive-driven,4.053712387985797e-08,0.6,0.25,0.5333333333333333,0.16,0.86,0.0,0.0,0.14,0.0
base,53002,16,Instructive-driven,4.053712387985797e-08,0.4375,0.21875,0.5625,0.16,0.86,0.0,0.0,0.14,0.0
base,53002,17,Instructive-driven,4.053712387985797e-08,0.5882352941176471,0.29411764705882354,0.5294117647058824,0.16,0.88,0.0,0.0,0.12,0.0
base,53002,18,Instructive-driven,4.053712387985797e-08,0.6666666666666666,0.2777777777777778,0.5,0.16,0.88,0.0,0.0,0.12,0.0
base,53002,19,Instructive-driven,4.053712387985797e-08,0.7368421052631579,0.21052631578947367,0.5263157894736843,0.16,0.86,0.0,0.0,0.14,0.0
base,53002,20,Instructive-driven,4.053712387985797e-08,0.75,0.275,0.55,0.16,0.88,0.0,0.0,0.12,0.0
base,53002,21,Instructive-driven,4.053712387985797e-08,0.8571428571428571,0.27380952380952384,0.5714285714285714,0.16,0.86,0.0,0.0,0.14,0.0
base,53002,22,Instructive-driven,4.053712387985797e-08,0.8181818181818182,0.32954545454545453,0.5909090909090908,0.16,0.86,0.0,0.0,0.14,0.0
base,53002,23,Instructive-driven,4.053712387985797e-08,0.6086956521739131,0.32608695652173914,0.6086956521739131,0.16,0.86,0.0,0.0,0.14,0.0
base,53002,24,Instructive-driven,4.053712387985797e-08,0.20833333333333334,0.09375,0.625,0.16,0.86,0.0,0.0,0.14,0.0
base,53002,25,Instructive-driven,4.053712387985797e-08,0.32,0.07,0.6,0.18,0.88,0.0,0.0,0.12,0.0
base,53002,26,Instructive-driven,4.053712387985797e-08,0.3076923076923077,0.0673076923076923,0.6153846153846154,0.18,0.86,0.0,0.0,0.14,0.0
base,53002,27,Instructive-driven,4.053712387985797e-08,0.2962962962962963,0.05555555555555555,0.6296296296296297,0.18,0.86,0.0,0.0,0.14,0.0
base,53002,28,Instructive-driven,4.053712387985797e-08,0.5,0.09821428571428571,0.6428571428571428,0.18,0.88,0.0,0.0,0.12,0.0
