rule,seed,capacity,unit,category,total_variance,spatial,cue-general,cue-specific,interaction
base,53001,3,19,spatial,0.026762387,0.021474823,0.0033166048,0.0106855575,0.005051817
base,53001,3,20,mixed,0.018874366,0.011757766,0.00068208587,0.003957358,0.0061489693
base,53001,3,21,spatial,0.083470844,0.07518439,0.00050295657,0.0059616473,0.0069104745
base,53001,3,22,mixed,0.013995965,0.008307841,0.0002122784,0.002462295,0.0051385206
base,53001,3,23,mixed,0.014444374,0.01067538,0.003287627,0.014625879,0.0037112567
base,53001,3,24,mixed,0.018245753,0.011330715,0.0023796954,0.010723812,0.0067578903
base,53001,3,25,spatial,0.10531695,0.094488084,0.005068103,0.01624351,0.01065777
base,53001,3,26,spatial,0.15953666,0.13765553,0.0050824448,0.009195858,0.017944416
base,53001,3,27,spatial,0.13608296,0.1252957,0.006670722,0.006543311,0.009574296
base,53001,3,28,spatial,0.027182097,0.02181861,0.00030608632,0.0013971331,0.004930855
base,53001,3,29,spatial,0.0029842248,0.002069563,3.805908e-05,0.0004979068,0.0008462707
base,53001,3,30,spatial,0.056774426,0.04398979,0.00014156497,0.0049464083,0.010794904
base,53001,3,31,spatial,0.024464417,0.02157185,0.00091188616,0.0018099558,0.0028675152
base,53001,3,32,spatial,0.07986105,0.06902228,0.0026371141,0.0047822087,0.009443648
base,53001,3,33,mixed,0.015389692,0.00890491,0.0015026223,0.0063574007,0.006009473
base,53001,3,34,neutral,0.0003917185,0.00016783344,3.428786e-05,0.00011969771,0.00021124184
base,53001,3,35,mixed,0.0036785176,0.0017219797,0.00011898973,0.0016041488,0.0019020482
base,53001,3,36,spatial,0.008255208,0.006331037,2.1768637e-06,0.00063844735,0.001903278
base,53001,3,37,spatial,0.09535707,0.06816572,0.01109411,0.033893373,0.022429112
base,53001,3,38,spatial,0.062433016,0.053697616,2.1225384e-05,0.0025946586,0.00805822
base,53001,3,39,spatial,0.04288953,0.03523316,6.546133e-06,0.007614071,0.0066324417
base,53001,3,40,mixed,0.0076515633,0.003856997,0.00042846872,0.00089364016,0.0031843707
base,53001,3,41,spatial,0.076136194,0.06767447,0.00034472518,0.0011881932,0.008006721
base,53001,3,42,mixed,0.012899799,0.009072146,7.3461415e-06,0.005569458,0.003468094
