record_type,seed,plasticity_rule,schedule,event,event_lap,relative_lap,old_map_similarity,new_map_similarity,step_similarity,ca1_unit,endpoint_unit_similarity
endpoint_unit,51001,base,swap,2,31,,,,,9,0.40596282482147217
endpoint_unit,51001,base,swap,2,31,,,,,10,0.21308979392051697
endpoint_unit,51001,base,swap,2,31,,,,,11,0.5505093336105347
endpoint_unit,51001,base,swap,2,31,,,,,12,0.4106000065803528
endpoint_unit,51001,base,swap,2,31,,,,,13,0.8771561980247498
endpoint_unit,51001,base,swap,2,31,,,,,14,0.8779534697532654
endpoint_unit,51001,base,swap,2,31,,,,,15,-0.03410850465297699
endpoint_unit,51001,base,swap,2,31,,,,,16,0.06601545214653015
endpoint_unit,51001,base,swap,2,31,,,,,17,0.9999508261680603
endpoint_unit,51001,base,swap,2,31,,,,,18,0.030656056478619576
endpoint_unit,51001,base,swap,2,31,,,,,19,-0.01303173415362835
endpoint_unit,51001,base,swap,2,31,,,,,20,0.7329414486885071
endpoint_unit,51001,base,swap,2,31,,,,,21,0.9833078980445862
endpoint_unit,51001,base,swap,2,31,,,,,22,-0.46425023674964905
endpoint_unit,51001,base,swap,2,31,,,,,23,0.335990309715271
endpoint_unit,51001,base,swap,2,31,,,,,24,0.8124333024024963
endpoint_unit,51001,base,swap,2,31,,,,,25,0.08105270564556122
endpoint_unit,51001,base,swap,2,31,,,,,26,0.7659212350845337
endpoint_unit,51001,base,swap,2,31,,,,,27,-0.048187654465436935
endpoint_unit,51001,base,swap,2,31,,,,,28,0.539232075214386
endpoint_unit,51001,base,swap,2,31,,,,,29,0.3978133201599121
endpoint_unit,51001,base,swap,2,31,,,,,30,-0.4489310383796692
endpoint_unit,51001,base,swap,2,31,,,,,31,0.8119264245033264
endpoint_unit,51001,base,swap,2,31,,,,,32,0.8053149580955505
endpoint_unit,51001,base,swap,2,31,,,,,33,0.8611254692077637
endpoint_unit,51001,base,swap,2,31,,,,,34,0.7581005096435547
endpoint_unit,51001,base,swap,2,31,,,,,35,0.8836717009544373
endpoint_unit,51001,base,swap,2,31,,,,,36,0.37034937739372253
endpoint_unit,51001,base,swap,2,31,,,,,37,0.9956491589546204
endpoint_unit,51001,base,swap,2,31,,,,,38,0.7687132954597473
endpoint_unit,51001,base,swap,2,31,,,,,39,0.939853847026825
endpoint_unit,51001,base,swap,2,31,,,,,40,0.5744417309761047
endpoint_unit,51001,base,swap,2,31,,,,,41,0.011866276152431965
endpoint_unit,51001,base,swap,2,31,,,,,42,0.8927890062332153
