root_seed,rule,fraction,mask_index,output_cosine,identity,dropped_units
51003,err2,0.0,9,0.9552521938494665,0.76,0
51003,err2,0.0,10,0.9552521938494665,0.76,0
51003,err2,0.0,11,0.9552521938494665,0.76,0
51003,err2,0.25,0,0.8037678048519632,0.44,12
51003,err2,0.25,1,0.8248649989528853,0.38,12
51003,err2,0.25,2,0.8535323782905703,0.48,12
51003,err2,0.25,3,0.8328552297768742,0.3,12
51003,err2,0.25,4,0.8380494786525965,0.42,12
51003,err2,0.25,5,0.7714184892037385,0.34,12
51003,err2,0.25,6,0.8209982988599891,0.42,12
51003,err2,0.25,7,0.8855702339721816,0.5,12
51003,err2,0.25,8,0.760148659557403,0.5,12
51003,err2,0.25,9,0.837638847983928,0.34,12
51003,err2,0.25,10,0.7854433415711641,0.28,12
51003,err2,0.25,11,0.8578173299331491,0.32,12
51003,err2,0.5,0,0.6655934316286127,0.26,25
51003,err2,0.5,1,0.5724607920809622,0.18,25
51003,err2,0.5,2,0.5727334101504215,0.14,25
51003,err2,0.5,3,0.6178178404299125,0.28,25
51003,err2,0.5,4,0.6979116967515148,0.28,25
51003,err2,0.5,5,0.6424662943396937,0.18,25
51003,err2,0.5,6,0.6744753880964587,0.22,25
51003,err2,0.5,7,0.7158475617914164,0.2,25
51003,err2,0.5,8,0.6120422495927706,0.18,25
51003,err2,0.5,9,0.7079229319745458,0.24,25
51003,err2,0.5,10,0.5617785141480404,0.2,25
51003,err2,0.5,11,0.5338825813070677,0.22,25
51003,err2,0.75,0,0.5330531029749271,0.08,38
51003,err2,0.75,1,0.29190664722308607,0.04,38
51003,err2,0.75,2,0.45039811811775676,0.06,38
51003,err2,0.75,3,0.45958072370266323,0.1,38
51003,err2,0.75,4,0.5143717532607215,0.1,38
51003,err2,0.75,5,0.562286493336655,0.16,38
51003,err2,0.75,6,0.5021446724589328,0.08,38
51003,err2,0.75,7,0.6378080032332583,0.12,38
51003,err2,0.75,8,0.3945012297702536,0.02,38
51003,err2,0.75,9,0.4443817278320015,0.06,38
51003,err2,0.75,10,0.47203233578032683,0.12,38
51003,err2,0.75,11,0.4558250290041238,0.12,38
51003,err2,0.9,0,0.4106586826414695,0.02,45
51003,err2,0.9,1,0.3345155298466993,0.08,45
51003,err2,0.9,2,0.4935595711010457,0.04,45
51003,err2,0.9,3,0.42756728488036416,0.06,45
51003,err2,0.9,4,0.41753978811059883,0.06,45
51003,err2,0.9,5,0.35596002113261865,0.0,45
51003,err2,0.9,6,0.42772849008265573,0.06,45
51003,err2,0.9,7,0.42210857682538155,0.04,45
51003,err2,0.9,8,0.40458846748822985,0.02,45
51003,err2,0.9,9,0.4185547803536816,0.06,45
51003,err2,0.9,10,0.38687428543225805,0.0,45
51003,err2,0.9,11,0.3605897775401278,0.04,45
51004,base,0.0,0,0.8356774756380687,0.14,0
51004,base,0.0,1,0.8356774756380687,0.14,0
51004,base,0.0,2,0.8356774756380687,0.14,0
51004,base,0.0,3,0.8356774756380687,0.14,0
51004,base,0.0,4,0.8356774756380687,0.14,0
51004,base,0.0,5,0.8356774756380687,0.14,0
51004,base,0.0,6,0.8356774756380687,0.14,0
51004,base,0.0,7,0.8356774756380687,0.14,0
51004,base,0.0,8,0.8356774756380687,0.14,0
51004,base,0.0,9,0.8356774756380687,0.14,0
51004,base,0.0,10,0.8356774756380687,0.14,0
51004,base,0.0,11,0.8356774756380687,0.14,0
51004,base,0.25,0,0.830792575525497,0.12,12
51004,base,0.25,1,0.8149578189169007,0.16,12
51004,base,0.25,2,0.8338827479053645,0.16,12
51004,base,0.25,3,0.8301670927310001,0.08,12
51004,base,0.25,4,0.8393988467538877,0.18,12
51004,base,0.25,5,0.8349076087929147,0.16,12
51004,base,0.25,6,0.8191632882842016,0.12,12
51004,base,0.25,7,0.8282998078087432,0.14,12
51004,base,0.25,8,0.822836905095792,0.12,12
51004,base,0.25,9,0.8403830514829953,0.2,12
51004,base,0.25,10,0.8172910528364586,0.12,12
51004,base,0.25,11,0.8422066312153008,0.12,12
51004,base,0.5,0,0.8023438316522674,0.1,25
51004,base,0.5,1,0.7546998023410554,0.12,25
51004,base,0.5,2,0.8181948548745352,0.06,25
51004,base,0.5,3,0.7909609433659796,0.18,25
51004,base,0.5,4,0.721861774583915,0.16,25
51004,base,0.5,5,0.8074823478338763,0.12,25
51004,base,0.5,6,0.7682986151515797,0.16,25
51004,base,0.5,7,0.8033248088603342,0.12,25
51004,base,0.5,8,0.721255386540198,0.12,25
51004,base,0.5,9,0.73756050950157,0.12,25
51004,base,0.5,10,0.756828600926563,0.14,25
51004,base,0.5,11,0.7703815292255821,0.1,25
51004,base,0.75,0,0.7238024229049789,0.08,38
51004,base,0.75,1,0.6012681170919407,0.14,38
51004,base,0.75,2,0.5152329782292551,0.04,38
51004,base,0.75,3,0.5938304438785699,0.06,38
51004,base,0.75,4,0.5797118392275967,0.08,38
51004,base,0.75,5,0.637764873285744,0.06,38
51004,base,0.75,6,0.753108050345609,0.08,38
51004,base,0.75,7,0.7071203781583951,0.12,38
51004,base,0.75,8,0.7581039895133287,0.08,38
51004,base,0.75,9,0.6748848751359727,0.1,38
51004,base,0.75,10,0.7397340977533945,0.08,38
51004,base,0.75,11,0.6743663030262198,0.08,38
51004,base,0.9,0,0.6820301362787515,0.08,45
51004,base,0.9,1,0.5425673096710941,0.08,45
51004,base,0.9,2,0.6056994922774024,0.08,45
51004,base,0.9,3,0.7345784709950537,0.08,45
51004,base,0.9,4,0.44619581338906855,0.08,45
51004,base,0.9,5,0.6483066864960307,0.08,45
51004,base,0.9,6,0.6206797923374605,0.04,45
51004,base,0.9,7,0.6180147557660669,0.06,45
51004,base,0.9,8,0.3474886067640257,0.02,45
51004,base,0.9,9,0.36646314826601356,0.08,45
51004,base,0.9,10,0.37051239665156044,0.02,45
51004,base,0.9,11,0.4907266438902698,0.06,45
51004,err2,0.0,0,0.9332099080507222,0.52,0
51004,err2,0.0,1,0.9332099080507222,0.52,0
51004,err2,0.0,2,0.9332099080507222,0.52,0
51004,err2,0.0,3,0.9332099080507222,0.52,0
51004,err2,0.0,4,0.9332099080507222,0.52,0
51004,err2,0.0,5,0.9332099080507222,0.52,0
51004,err2,0.0,6,0.9332099080507222,0.52,0
51004,err2,0.0,7,0.9332099080507222,0.52,0
51004,err2,0.0,8,0.9332099080507222,0.52,0
51004,err2,0.0,9,0.9332099080507222,0.52,0
51004,err2,0.0,10,0.9332099080507222,0.52,0
51004,err2,0.0,11,0.9332099080507222,0.52,0
51004,err2,0.25,0,0.8131903616933676,0.32,12
51004,err2,0.25,1,0.8228409237549542,0.36,12
51004,err2,0.25,2,0.7365953036115956,0.22,12
51004,err2,0.25,3,0.800826670967715,0.3,12
51004,err2,0.25,4,0.8441512695542582,0.3,12
51004,err2,0.25,5,0.7785274477782015,0.22,12
51004,err2,0.25,6,0.7783830718821217,0.3,12
51004,err2,0.25,7,0.8296202979631618,0.36,12
51004,err2,0.25,8,0.7420938132979975,0.34,12
51004,err2,0.25,9,0.758476713753601,0.34,12
51004,err2,0.25,10,0.8202049859700686,0.4,12
51004,err2,0.25,11,0.8187489169277176,0.3,12
51004,err2,0.5,0,0.6994534084543592,0.14,25
51004,err2,0.5,1,0.6009074701952762,0.08,25
51004,err2,0.5,2,0.715522254420345,0.18,25
51004,err2,0.5,3,0.7662171056786665,0.24,25
51004,err2,0.5,4,0.7918873845216595,0.26,25
51004,err2,0.5,5,0.6921878123116616,0.22,25
51004,err2,0.5,6,0.6989377444464138,0.18,25
51004,err2,0.5,7,0.658618949665921,0.16,25
51004,err2,0.5,8,0.6367645882738505,0.18,25
51004,err2,0.5,9,0.6565534589467248,0.12,25
51004,err2,0.5,10,0.5212298289075763,0.04,25
51004,err2,0.5,11,0.5956485585560425,0.08,25
51004,err2,0.75,0,0.4444858206382897,0.06,38
51004,err2,0.75,1,0.37854858894221755,0.08,38
51004,err2,0.75,2,0.47374470907848887,0.04,38
51004,err2,0.75,3,0.46318227637882925,0.02,38
51004,err2,0.75,4,0.5556897119868431,0.08,38
51004,err2,0.75,5,0.4286276076386888,0.04,38
51004,err2,0.75,6,0.31487215782144184,0.04,38
51004,err2,0.75,7,0.42163395631091455,0.04,38
51004,err2,0.75,8,0.4403466441442332,0.06,38
51004,err2,0.75,9,0.4658342239914881,0.04,38
51004,err2,0.75,10,0.4258579998274319,0.06,38
51004,err2,0.75,11,0.43624627843297,0.0,38
51004,err2,0.9,0,0.3378555149199306,0.02,45
51004,err2,0.9,1,0.44312632055403917,0.06,45
51004,err2,0.9,2,0.3946371939250035,0.04,45
51004,err2,0.9,3,0.3850066264095737,0.08,45
51004,err2,0.9,4,0.3979589001450144,0.02,45
51004,err2,0.9,5,0.39923458452613175,0.04,45
51004,err2,0.9,6,0.4252312479096809,0.04,45
51004,err2,0.9,7,0.409616481477467,0.04,45
51004,err2,0.9,8,0.3480107639136804,0.02,45
51004,err2,0.9,9,0.39748436114643054,0.04,45
51004,err2,0.9,10,0.36017064814503313,0.04,45
51004,err2,0.9,11,0.45111808664171965,0.04,45
51005,base,0.0,0,0.8494396890409546,0.16,0
51005,base,0.0,1,0.8494396890409546,0.16,0
51005,base,0.0,2,0.8494396890409546,0.16,0
51005,base,0.0,3,0.8494396890409546,0.16,0
51005,base,0.0,4,0.8494396890409546,0.16,0
51005,base,0.0,5,0.8494396890409546,0.16,0
51005,base,0.0,6,0.8494396890409546,0.16,0
51005,base,0.0,7,0.8494396890409546,0.16,0
51005,base,0.0,8,0.8494396890409546,0.16,0
51005,base,0.0,9,0.8494396890409546,0.16,0
51005,base,0.0,10,0.8494396890409546,0.16,0
51005,base,0.0,11,0.8494396890409546,0.16,0
51005,base,0.25,0,0.8038026597194546,0.14,12
51005,base,0.25,1,0.8026918581555712,0.1,12
51005,base,0.25,2,0.8493773037322842,0.24,12
51005,base,0.25,3,0.8164888413705159,0.16,12
51005,base,0.25,4,0.7964399368799583,0.18,12
51005,base,0.25,5,0.760657640200507,0.22,12
51005,base,0.25,6,0.8159439379066495,0.14,12
51005,base,0.25,7,0.7961388070417712,0.12,12
51005,base,0.25,8,0.840534153437759,0.14,12
51005,base,0.25,9,0.8044200755573692,0.08,12
51005,base,0.25,10,0.7968520804643652,0.08,12
51005,base,0.25,11,0.843668642073077,0.26,12
51005,base,0.5,0,0.6455229866343134,0.08,25
51005,base,0.5,1,0.7539566189120296,0.14,25
51005,base,0.5,2,0.8174641883412981,0.26,25
51005,base,0.5,3,0.826214447902572,0.14,25
51005,base,0.5,4,0.7795924802204983,0.1,25
51005,base,0.5,5,0.8350286686000217,0.18,25
51005,base,0.5,6,0.5934435578496294,0.08,25
51005,base,0.5,7,0.8014895061312991,0.06,25
51005,base,0.5,8,0.8085646033212587,0.12,25
51005,base,0.5,9,0.7126034073768165,0.1,25
51005,base,0.5,10,0.7822317721074095,0.12,25
