root_seed,key_mode,fraction,mask_index,dropped_lec_units,cue_accuracy,mec_cosine,output_cosine,key_cosine
51001,dense,0.25,3,6,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.25,4,6,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.25,5,6,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.25,6,6,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.25,7,6,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.25,8,6,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.25,9,6,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.25,10,6,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.25,11,6,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.5,0,12,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.5,1,12,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.5,2,12,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.5,3,12,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.5,4,12,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.5,5,12,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.5,6,12,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.5,7,12,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.5,8,12,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.5,9,12,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.5,10,12,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.5,11,12,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.75,0,19,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.75,1,19,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.75,2,19,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.75,3,19,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.75,4,19,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.75,5,19,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.75,6,19,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.75,7,19,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.75,8,19,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.75,9,19,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.75,10,19,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.75,11,19,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.9,0,22,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.9,1,22,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.9,2,22,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.9,3,22,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.9,4,22,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.9,5,22,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.9,6,22,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.9,7,22,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.9,8,22,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.9,9,22,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.9,10,22,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.9,11,22,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,identity,0.0,0,0,1.0,0.9395449860476041,0.971398292654658,1.0
51001,identity,0.0,1,0,1.0,0.9395449860476041,0.971398292654658,1.0
