root_seed,rule,fraction,mask_index,output_cosine,identity,dropped_units
31003,base,0.75,6,0.6048146863311126,0.08,38
31003,base,0.75,7,0.5395848981916077,0.14,38
31003,base,0.9,0,0.5382272601600248,0.1,45
31003,base,0.9,1,0.5194120142913209,0.08,45
31003,base,0.9,2,0.631368598732176,0.06,45
31003,base,0.9,3,0.2675457694267335,0.04,45
31003,base,0.9,4,0.42340010884093815,0.02,45
31003,base,0.9,5,0.53170374104802,0.04,45
31003,base,0.9,6,0.24437827632422043,0.02,45
31003,base,0.9,7,0.6254047936580817,0.04,45
31003,err2,0.0,0,0.9621753665659568,0.84,0
31003,err2,0.0,1,0.9621753665659568,0.84,0
31003,err2,0.0,2,0.9621753665659568,0.84,0
31003,err2,0.0,3,0.9621753665659568,0.84,0
31003,err2,0.0,4,0.9621753665659568,0.84,0
31003,err2,0.0,5,0.9621753665659568,0.84,0
31003,err2,0.0,6,0.9621753665659568,0.84,0
31003,err2,0.0,7,0.9621753665659568,0.84,0
31003,err2,0.25,0,0.8430412072816047,0.3,12
31003,err2,0.25,1,0.778852214571924,0.5,12
31003,err2,0.25,2,0.9041529374287842,0.48,12
31003,err2,0.25,3,0.8667730898266587,0.42,12
31003,err2,0.25,4,0.7739500044318143,0.44,12
31003,err2,0.25,5,0.8412353689789991,0.34,12
31003,err2,0.25,6,0.877880301041375,0.4,12
31003,err2,0.25,7,0.7917090772856763,0.32,12
31003,err2,0.5,0,0.7399631459099628,0.14,25
31003,err2,0.5,1,0.612302367628261,0.1,25
31003,err2,0.5,2,0.6938460645646137,0.14,25
31003,err2,0.5,3,0.6856731207400361,0.18,25
31003,err2,0.5,4,0.5958502798531286,0.26,25
31003,err2,0.5,5,0.6849556084820793,0.24,25
31003,err2,0.5,6,0.7538525634694954,0.24,25
31003,err2,0.5,7,0.7693850374507168,0.22,25
31003,err2,0.75,0,0.38499760384274845,0.02,38
31003,err2,0.75,1,0.4908571865352075,0.02,38
31003,err2,0.75,2,0.41148129378784526,0.06,38
31003,err2,0.75,3,0.6031881821296221,0.04,38
31003,err2,0.75,4,0.6253216697661887,0.06,38
31003,err2,0.75,5,0.564124340465234,0.1,38
31003,err2,0.75,6,0.5373537729108332,0.08,38
31003,err2,0.75,7,0.526184508962851,0.06,38
31003,err2,0.9,0,0.2806226748391795,0.0,45
31003,err2,0.9,1,0.4608915994671804,0.06,45
31003,err2,0.9,2,0.3889155367675771,0.02,45
31003,err2,0.9,3,0.4902320375204942,0.06,45
31003,err2,0.9,4,0.38290874008006526,0.06,45
31003,err2,0.9,5,0.3616298736090657,0.02,45
31003,err2,0.9,6,0.4779235130450036,0.02,45
31003,err2,0.9,7,0.2990288358000821,0.02,45
31004,base,0.0,0,0.872015017735611,0.24,0
31004,base,0.0,1,0.872015017735611,0.24,0
31004,base,0.0,2,0.872015017735611,0.24,0
31004,base,0.0,3,0.872015017735611,0.24,0
31004,base,0.0,4,0.872015017735611,0.24,0
31004,base,0.0,5,0.872015017735611,0.24,0
31004,base,0.0,6,0.872015017735611,0.24,0
31004,base,0.0,7,0.872015017735611,0.24,0
31004,base,0.25,0,0.8632248229528457,0.18,12
31004,base,0.25,1,0.8701723286460133,0.22,12
31004,base,0.25,2,0.8594803712219455,0.22,12
31004,base,0.25,3,0.8695159679413941,0.18,12
31004,base,0.25,4,0.854226770419852,0.2,12
31004,base,0.25,5,0.859454494909189,0.16,12
31004,base,0.25,6,0.8228959598677948,0.12,12
31004,base,0.25,7,0.8658290056402788,0.14,12
31004,base,0.5,0,0.8260793025721306,0.16,25
31004,base,0.5,1,0.8484046098374525,0.14,25
31004,base,0.5,2,0.7961672126028971,0.1,25
31004,base,0.5,3,0.8147982834847208,0.06,25
31004,base,0.5,4,0.8169958110229245,0.06,25
31004,base,0.5,5,0.8499863528294438,0.14,25
31004,base,0.5,6,0.6895756874785591,0.06,25
31004,base,0.5,7,0.8234936103848853,0.12,25
31004,base,0.75,0,0.7046308099135403,0.06,38
31004,base,0.75,1,0.5468839095353368,0.08,38
31004,base,0.75,2,0.6657382988891934,0.08,38
31004,base,0.75,3,0.7384341940310104,0.1,38
31004,base,0.75,4,0.7669874100943613,0.08,38
31004,base,0.75,5,0.6063867430019567,0.06,38
31004,base,0.75,6,0.7945606443325502,0.08,38
31004,base,0.75,7,0.7570738515987431,0.14,38
31004,base,0.9,0,0.7719140079563285,0.06,45
31004,base,0.9,1,0.5223871795997922,0.04,45
31004,base,0.9,2,0.6621698238461178,0.06,45
31004,base,0.9,3,0.6540002705231254,0.08,45
31004,base,0.9,4,0.7491020112630364,0.08,45
31004,base,0.9,5,0.5374654419999939,0.04,45
31004,base,0.9,6,0.7470194094696135,0.04,45
31004,base,0.9,7,0.7258284841042705,0.08,45
31004,err2,0.0,0,0.9566977969585908,0.88,0
31004,err2,0.0,1,0.9566977969585908,0.88,0
31004,err2,0.0,2,0.9566977969585908,0.88,0
31004,err2,0.0,3,0.9566977969585908,0.88,0
31004,err2,0.0,4,0.9566977969585908,0.88,0
31004,err2,0.0,5,0.9566977969585908,0.88,0
31004,err2,0.0,6,0.9566977969585908,0.88,0
31004,err2,0.0,7,0.9566977969585908,0.88,0
31004,err2,0.25,0,0.8839159809848668,0.46,12
31004,err2,0.25,1,0.8331082217792294,0.22,12
31004,err2,0.25,2,0.8456661610813145,0.3,12
31004,err2,0.25,3,0.8550681422150674,0.4,12
31004,err2,0.25,4,0.8454516328965351,0.28,12
31004,err2,0.25,5,0.8504825491481003,0.38,12
31004,err2,0.25,6,0.8365777223853703,0.32,12
31004,err2,0.25,7,0.7025825561693634,0.38,12
31004,err2,0.5,0,0.5625491155474119,0.1,25
31004,err2,0.5,1,0.5943906252922797,0.18,25
31004,err2,0.5,2,0.5902720233239938,0.14,25
31004,err2,0.5,3,0.6590830116134715,0.14,25
31004,err2,0.5,4,0.664897807072442,0.18,25
31004,err2,0.5,5,0.6498538735604193,0.16,25
31004,err2,0.5,6,0.5769360099533475,0.1,25
31004,err2,0.5,7,0.5842470660072602,0.18,25
31004,err2,0.75,0,0.4970013757636964,0.1,38
31004,err2,0.75,1,0.5263362483412938,0.02,38
31004,err2,0.75,2,0.4455096053042661,0.04,38
31004,err2,0.75,3,0.5269045474819154,0.1,38
31004,err2,0.75,4,0.44436102622455587,0.06,38
31004,err2,0.75,5,0.41966580846279283,0.04,38
31004,err2,0.75,6,0.6803250697515902,0.16,38
31004,err2,0.75,7,0.5088157210221745,0.08,38
31004,err2,0.9,0,0.3685209364797787,0.02,45
31004,err2,0.9,1,0.4412209865390028,0.04,45
31004,err2,0.9,2,0.2989837590984457,0.0,45
31004,err2,0.9,3,0.3430291935250826,0.04,45
31004,err2,0.9,4,0.34696840224910774,0.0,45
31004,err2,0.9,5,0.4113477946392758,0.02,45
31004,err2,0.9,6,0.40709916440730437,0.04,45
31004,err2,0.9,7,0.4346809177763504,0.0,45
31005,base,0.0,0,0.8689957212166713,0.24,0
31005,base,0.0,1,0.8689957212166713,0.24,0
31005,base,0.0,2,0.8689957212166713,0.24,0
31005,base,0.0,3,0.8689957212166713,0.24,0
31005,base,0.0,4,0.8689957212166713,0.24,0
31005,base,0.0,5,0.8689957212166713,0.24,0
31005,base,0.0,6,0.8689957212166713,0.24,0
31005,base,0.0,7,0.8689957212166713,0.24,0
31005,base,0.25,0,0.8630432639558818,0.2,12
31005,base,0.25,1,0.8543803684574057,0.16,12
31005,base,0.25,2,0.8616562729566556,0.3,12
31005,base,0.25,3,0.8716227945845365,0.2,12
31005,base,0.25,4,0.826908772545687,0.06,12
31005,base,0.25,5,0.8608831608751912,0.2,12
31005,base,0.25,6,0.8436036954689466,0.18,12
31005,base,0.25,7,0.8495791992252678,0.18,12
31005,base,0.5,0,0.8384153405688677,0.14,25
31005,base,0.5,1,0.7184401702476566,0.1,25
31005,base,0.5,2,0.8249567566612219,0.18,25
31005,base,0.5,3,0.8158915398681671,0.08,25
31005,base,0.5,4,0.672728214876787,0.1,25
31005,base,0.5,5,0.839141752068314,0.22,25
31005,base,0.5,6,0.7743169947123502,0.06,25
31005,base,0.5,7,0.8562730433429241,0.18,25
31005,base,0.75,0,0.6744683840617615,0.04,38
31005,base,0.75,1,0.7167772272618465,0.12,38
31005,base,0.75,2,0.6220091286140953,0.12,38
