rule,seed,capacity,unit,category,total_variance,spatial,cue-general,cue-specific,interaction
err2,53001,1,3,cue-general,0.0030187354,0.0030187354,0.007111309,3.544015e-05,0.0
err2,53001,1,4,spatial,0.0012417806,0.0012417806,0.00024094044,4.2587e-08,0.0
err2,53001,1,5,spatial,0.008090748,0.008090748,0.0014923034,0.0011346716,0.0
err2,53001,1,6,cue-general,0.0031493,0.0031493,0.006727772,0.00035148024,0.0
err2,53001,1,7,mixed,0.0029308782,0.0029308782,0.0046116062,9.290889e-06,0.0
err2,53001,1,8,spatial,0.047998138,0.047998138,2.1078404e-05,0.022080302,0.0
err2,53001,1,9,spatial,0.011492298,0.011492298,0.0026330084,0.0023394627,0.0
err2,53001,1,10,cue-general,0.0047241915,0.0047241915,0.010141232,0.00018093208,0.0
err2,53001,1,11,spatial,0.0071271844,0.0071271844,0.00013426982,1.626328e-05,0.0
err2,53001,1,12,mixed,0.0053976197,0.0053976197,0.0033544607,0.0032927874,0.0
err2,53001,1,13,cue-general,0.002259167,0.002259167,0.0059418622,0.00029345663,0.0
err2,53001,1,14,mixed,0.0038934734,0.0038934734,0.004798312,5.964732e-05,0.0
err2,53001,1,15,mixed,0.0045516505,0.0045516505,0.0024874338,6.609213e-05,0.0
err2,53001,1,16,mixed,0.001931745,0.001931745,0.0029367688,0.00075157935,0.0
err2,53001,1,17,spatial,0.006058666,0.006058666,0.00088013936,9.208939e-05,0.0
err2,53001,1,18,mixed,0.005119867,0.005119867,0.0052626464,2.9269465e-06,0.0
err2,53001,1,19,mixed,0.005109897,0.005109897,0.0070176874,1.2304978e-05,0.0
err2,53001,1,20,spatial,0.013168894,0.013168894,0.0042638956,0.0023314692,0.0
err2,53001,1,21,mixed,0.0020301898,0.0020301898,0.0027952201,1.8940631e-05,0.0
err2,53001,1,22,cue-general,0.004229052,0.004229052,0.015521018,2.5435156e-05,0.0
err2,53001,1,23,mixed,0.014919387,0.014919387,0.008266742,0.0018599086,0.0
err2,53001,1,24,spatial,0.0051132934,0.0051132934,0.002009349,3.6741192e-05,0.0
