record_type,seed,plasticity_rule,schedule,event,event_lap,relative_lap,old_map_similarity,new_map_similarity,step_similarity,ca1_unit,endpoint_unit_similarity
endpoint_unit,51001,base,no_swap,0,11,,,,,29,0.8858873844146729
endpoint_unit,51001,base,no_swap,0,11,,,,,30,0.9993082284927368
endpoint_unit,51001,base,no_swap,0,11,,,,,31,-0.018407700583338737
endpoint_unit,51001,base,no_swap,0,11,,,,,32,0.32900360226631165
endpoint_unit,51001,base,no_swap,0,11,,,,,33,0.8784742951393127
endpoint_unit,51001,base,no_swap,0,11,,,,,34,0.9444758892059326
endpoint_unit,51001,base,no_swap,0,11,,,,,35,0.8331698179244995
endpoint_unit,51001,base,no_swap,0,11,,,,,36,0.8990209698677063
endpoint_unit,51001,base,no_swap,0,11,,,,,37,0.8968343138694763
endpoint_unit,51001,base,no_swap,0,11,,,,,38,0.028583059087395668
endpoint_unit,51001,base,no_swap,0,11,,,,,39,0.001857064082287252
endpoint_unit,51001,base,no_swap,0,11,,,,,40,0.8849033713340759
endpoint_unit,51001,base,no_swap,0,11,,,,,41,0.8510880470275879
endpoint_unit,51001,base,no_swap,0,11,,,,,42,0.01237080991268158
endpoint_unit,51001,base,no_swap,0,11,,,,,43,0.7809434533119202
endpoint_unit,51001,base,no_swap,0,11,,,,,44,0.9168412089347839
endpoint_unit,51001,base,no_swap,0,11,,,,,45,0.0022745393216609955
endpoint_unit,51001,base,no_swap,0,11,,,,,46,0.6909223198890686
endpoint_unit,51001,base,no_swap,0,11,,,,,47,-0.02829788066446781
endpoint_unit,51001,base,no_swap,0,11,,,,,48,0.9998557567596436
endpoint_unit,51001,base,no_swap,0,11,,,,,49,0.0015379928518086672
event_timecourse,51001,err2,swap,0,11,-3,0.7907710075378418,0.3103015124797821,0.8789801597595215,,
event_timecourse,51001,err2,swap,0,11,-2,0.8210350871086121,0.3033744692802429,0.8248069286346436,,
event_timecourse,51001,err2,swap,0,11,-1,0.847744882106781,0.3087042570114136,0.8210350871086121,,
event_timecourse,51001,err2,swap,0,11,0,0.35808444023132324,0.6134627461433411,0.35808444023132324,,
event_timecourse,51001,err2,swap,0,11,1,0.3244625926017761,0.6523138284683228,0.7778505086898804,,
event_timecourse,51001,err2,swap,0,11,2,0.3256184756755829,0.6880952715873718,0.7912355661392212,,
event_timecourse,51001,err2,swap,0,11,3,0.329420804977417,0.6918196678161621,0.7812191247940063,,
event_timecourse,51001,err2,swap,0,11,4,0.3262218236923218,0.7384631633758545,0.7826277017593384,,
event_timecourse,51001,err2,swap,0,11,5,0.3127724528312683,0.7298703789710999,0.8021848201751709,,
event_timecourse,51001,err2,swap,0,11,6,0.32051441073417664,0.7568454146385193,0.8091248273849487,,
event_timecourse,51001,err2,swap,0,11,7,0.2740861475467682,0.7545469403266907,0.7868837118148804,,
event_timecourse,51001,err2,swap,0,11,8,0.2966965436935425,0.7907952070236206,0.7872943878173828,,
event_timecourse,51001,err2,swap,0,11,9,0.3087042570114136,0.8600000143051147,0.7907952070236206,,
endpoint_unit,51001,err2,swap,0,11,,,,,0,-0.04928811267018318
endpoint_unit,51001,err2,swap,0,11,,,,,1,-0.4317876994609833
endpoint_unit,51001,err2,swap,0,11,,,,,2,0.18620479106903076
endpoint_unit,51001,err2,swap,0,11,,,,,3,-0.20976758003234863
endpoint_unit,51001,err2,swap,0,11,,,,,4,0.7695809006690979
endpoint_unit,51001,err2,swap,0,11,,,,,5,0.7317115068435669
endpoint_unit,51001,err2,swap,0,11,,,,,6,-0.4248620867729187
endpoint_unit,51001,err2,swap,0,11,,,,,7,0.9488859176635742
endpoint_unit,51001,err2,swap,0,11,,,,,8,0.9016035199165344
endpoint_unit,51001,err2,swap,0,11,,,,,9,0.6904701590538025
endpoint_unit,51001,err2,swap,0,11,,,,,10,0.9051256775856018
endpoint_unit,51001,err2,swap,0,11,,,,,11,0.30831074714660645
endpoint_unit,51001,err2,swap,0,11,,,,,12,3.293192940567735e-10
endpoint_unit,51001,err2,swap,0,11,,,,,13,-0.002481951145455241
endpoint_unit,51001,err2,swap,0,11,,,,,14,0.8427202105522156
endpoint_unit,51001,err2,swap,0,11,,,,,15,0.14378821849822998
