experiment,seed,plasticity_rule,condition,memory,output_target_cosine,from_lap,to_lap,cue_changed,tuning_similarity
compatibility,51001,base,no_plasticity,17,0.22190624475479126,,,,
compatibility,51001,base,no_plasticity,18,0.02161365933716297,,,,
compatibility,51001,base,no_plasticity,19,0.1340021789073944,,,,
compatibility,51001,base,no_plasticity,20,0.02375914342701435,,,,
compatibility,51001,base,no_plasticity,21,0.0018423859728500247,,,,
compatibility,51001,base,no_plasticity,22,0.4311881363391876,,,,
compatibility,51001,base,no_plasticity,23,0.058475054800510406,,,,
compatibility,51001,base,no_plasticity,24,0.1841006875038147,,,,
compatibility,51001,base,no_plasticity,25,0.004570906516164541,,,,
compatibility,51001,base,no_plasticity,26,0.3718097507953644,,,,
compatibility,51001,base,no_plasticity,27,0.10681628435850143,,,,
cue_schedule,51001,base,swap,,,1,2,False,0.8055341243743896
cue_schedule,51001,base,swap,,,2,3,False,0.7674455046653748
cue_schedule,51001,base,swap,,,3,4,False,0.7915357351303101
cue_schedule,51001,base,swap,,,4,5,False,0.774655282497406
cue_schedule,51001,base,swap,,,5,6,False,0.7923034429550171
cue_schedule,51001,base,swap,,,6,7,False,0.8294596672058105
cue_schedule,51001,base,swap,,,7,8,False,0.8533211350440979
cue_schedule,51001,base,swap,,,8,9,False,0.8166192770004272
cue_schedule,51001,base,swap,,,9,10,False,0.8334442377090454
cue_schedule,51001,base,swap,,,10,11,True,0.3418002724647522
cue_schedule,51001,base,swap,,,11,12,False,0.7463297843933105
cue_schedule,51001,base,swap,,,12,13,False,0.8320627808570862
cue_schedule,51001,base,swap,,,13,14,False,0.8469856381416321
cue_schedule,51001,base,swap,,,14,15,False,0.8583772778511047
cue_schedule,51001,base,swap,,,15,16,False,0.8495379686355591
cue_schedule,51001,base,swap,,,16,17,False,0.8663790822029114
cue_schedule,51001,base,swap,,,17,18,False,0.8993788957595825
cue_schedule,51001,base,swap,,,18,19,False,0.8913949728012085
cue_schedule,51001,base,swap,,,19,20,False,0.8689767718315125
cue_schedule,51001,base,swap,,,20,21,True,0.35257408022880554
cue_schedule,51001,base,swap,,,21,22,False,0.8243215680122375
cue_schedule,51001,base,swap,,,22,23,False,0.8289096355438232
cue_schedule,51001,base,swap,,,23,24,False,0.8479039072990417
cue_schedule,51001,base,swap,,,24,25,False,0.8454766273498535
cue_schedule,51001,base,swap,,,25,26,False,0.8443309664726257
cue_schedule,51001,base,swap,,,26,27,False,0.8338806629180908
cue_schedule,51001,base,swap,,,27,28,False,0.8667619228363037
cue_schedule,51001,base,swap,,,28,29,False,0.8352470993995667
cue_schedule,51001,base,swap,,,29,30,False,0.8627532720565796
cue_schedule,51001,base,swap,,,30,31,True,0.3239850699901581
cue_schedule,51001,base,swap,,,31,32,False,0.8269873261451721
cue_schedule,51001,base,swap,,,32,33,False,0.8265693783760071
cue_schedule,51001,base,swap,,,33,34,False,0.8509052991867065
cue_schedule,51001,base,swap,,,34,35,False,0.796323299407959
cue_schedule,51001,base,swap,,,35,36,False,0.8758215308189392
cue_schedule,51001,base,swap,,,36,37,False,0.848359227180481
cue_schedule,51001,base,swap,,,37,38,False,0.8837304711341858
cue_schedule,51001,base,swap,,,38,39,False,0.846409022808075
cue_schedule,51001,base,swap,,,39,40,False,0.887744128704071
cue_schedule,51001,base,no_swap,,,1,2,False,0.8055341243743896
cue_schedule,51001,base,no_swap,,,2,3,False,0.7674455046653748
cue_schedule,51001,base,no_swap,,,3,4,False,0.7915357351303101
cue_schedule,51001,base,no_swap,,,4,5,False,0.774655282497406
cue_schedule,51001,base,no_swap,,,5,6,False,0.7923034429550171
cue_schedule,51001,base,no_swap,,,6,7,False,0.8294596672058105
cue_schedule,51001,base,no_swap,,,7,8,False,0.8533211350440979
cue_schedule,51001,base,no_swap,,,8,9,False,0.8166192770004272
cue_schedule,51001,base,no_swap,,,9,10,False,0.8334442377090454
cue_schedule,51001,base,no_swap,,,10,11,False,0.816733181476593
cue_schedule,51001,base,no_swap,,,11,12,False,0.809328556060791
cue_schedule,51001,base,no_swap,,,12,13,False,0.8420540690422058
cue_schedule,51001,base,no_swap,,,13,14,False,0.8348845839500427
cue_schedule,51001,base,no_swap,,,14,15,False,0.8517599701881409
cue_schedule,51001,base,no_swap,,,15,16,False,0.8028002977371216
cue_schedule,51001,base,no_swap,,,16,17,False,0.8240062594413757
cue_schedule,51001,base,no_swap,,,17,18,False,0.857048749923706
cue_schedule,51001,base,no_swap,,,18,19,False,0.8686471581459045
cue_schedule,51001,base,no_swap,,,19,20,False,0.8526074886322021
cue_schedule,51001,base,no_swap,,,20,21,False,0.8372321128845215
cue_schedule,51001,base,no_swap,,,21,22,False,0.8863747119903564
cue_schedule,51001,base,no_swap,,,22,23,False,0.8480178117752075
cue_schedule,51001,base,no_swap,,,23,24,False,0.8461854457855225
cue_schedule,51001,base,no_swap,,,24,25,False,0.8240712881088257
cue_schedule,51001,base,no_swap,,,25,26,False,0.8597354292869568
cue_schedule,51001,base,no_swap,,,26,27,False,0.7894892692565918
cue_schedule,51001,base,no_swap,,,27,28,False,0.8661337494850159
cue_schedule,51001,base,no_swap,,,28,29,False,0.8423997759819031
cue_schedule,51001,base,no_swap,,,29,30,False,0.8556325435638428
cue_schedule,51001,base,no_swap,,,30,31,False,0.8590396642684937
cue_schedule,51001,base,no_swap,,,31,32,False,0.85985267162323
cue_schedule,51001,base,no_swap,,,32,33,False,0.8399257063865662
cue_schedule,51001,base,no_swap,,,33,34,False,0.855496346950531
cue_schedule,51001,base,no_swap,,,34,35,False,0.7875908017158508
cue_schedule,51001,base,no_swap,,,35,36,False,0.8708592057228088
cue_schedule,51001,base,no_swap,,,36,37,False,0.7622418403625488
cue_schedule,51001,base,no_swap,,,37,38,False,0.8823309540748596
cue_schedule,51001,base,no_swap,,,38,39,False,0.8177899122238159
cue_schedule,51001,base,no_swap,,,39,40,False,0.8775442242622375
compatibility,51001,err2,aligned,0,0.15491807460784912,,,,
compatibility,51001,err2,aligned,1,0.09847939014434814,,,,
compatibility,51001,err2,aligned,2,0.025982245802879333,,,,
compatibility,51001,err2,aligned,3,0.0072965179570019245,,,,
compatibility,51001,err2,aligned,4,0.18022657930850983,,,,
compatibility,51001,err2,aligned,5,0.07917623966932297,,,,
compatibility,51001,err2,aligned,6,0.45530205965042114,,,,
compatibility,51001,err2,aligned,7,0.1810941845178604,,,,
compatibility,51001,err2,aligned,8,0.052240803837776184,,,,
compatibility,51001,err2,aligned,9,0.0643722265958786,,,,
compatibility,51001,err2,aligned,10,0.22111955285072327,,,,
compatibility,51001,err2,aligned,11,0.1964324563741684,,,,
compatibility,51001,err2,aligned,12,0.032584838569164276,,,,
compatibility,51001,err2,aligned,13,0.12425971031188965,,,,
compatibility,51001,err2,aligned,14,0.03425149619579315,,,,
compatibility,51001,err2,aligned,15,0.14972269535064697,,,,
compatibility,51001,err2,aligned,16,0.02064182050526142,,,,
compatibility,51001,err2,aligned,17,0.31330758333206177,,,,
compatibility,51001,err2,aligned,18,0.20364007353782654,,,,
compatibility,51001,err2,aligned,19,0.4226030707359314,,,,
compatibility,51001,err2,aligned,20,0.1756623387336731,,,,
compatibility,51001,err2,aligned,21,0.1849609911441803,,,,
compatibility,51001,err2,aligned,22,0.3536071479320526,,,,
compatibility,51001,err2,aligned,23,0.1324830949306488,,,,
compatibility,51001,err2,aligned,24,0.24147646129131317,,,,
compatibility,51001,err2,aligned,25,0.00043263216502964497,,,,
compatibility,51001,err2,aligned,26,0.1640137881040573,,,,
compatibility,51001,err2,aligned,27,0.10050732642412186,,,,
compatibility,51001,err2,fixed_permutation,0,0.27689802646636963,,,,
compatibility,51001,err2,fixed_permutation,1,0.2074693888425827,,,,
compatibility,51001,err2,fixed_permutation,2,0.20794527232646942,,,,
compatibility,51001,err2,fixed_permutation,3,0.22766335308551788,,,,
compatibility,51001,err2,fixed_permutation,4,0.34482845664024353,,,,
compatibility,51001,err2,fixed_permutation,5,0.13131090998649597,,,,
compatibility,51001,err2,fixed_permutation,6,0.28891679644584656,,,,
compatibility,51001,err2,fixed_permutation,7,0.5532510876655579,,,,
compatibility,51001,err2,fixed_permutation,8,0.009587972424924374,,,,
compatibility,51001,err2,fixed_permutation,9,0.07259556651115417,,,,
compatibility,51001,err2,fixed_permutation,10,0.19324342906475067,,,,
compatibility,51001,err2,fixed_permutation,11,0.07177545875310898,,,,
compatibility,51001,err2,fixed_permutation,12,0.08065499365329742,,,,
compatibility,51001,err2,fixed_permutation,13,0.077407106757164,,,,
compatibility,51001,err2,fixed_permutation,14,0.1915997713804245,,,,
compatibility,51001,err2,fixed_permutation,15,0.25428247451782227,,,,
compatibility,51001,err2,fixed_permutation,16,0.04001842811703682,,,,
compatibility,51001,err2,fixed_permutation,17,0.2052033245563507,,,,
compatibility,51001,err2,fixed_permutation,18,0.03745278716087341,,,,
compatibility,51001,err2,fixed_permutation,19,0.2231094390153885,,,,
