repetition,seed,dim_ca1,num_cue_patterns,bit_kind,plasticity,train_noise,test_noise,ae_name,mtl_name,evolution_fitness,input_cosine,ae_cosine,mtl_cosine,ae_mse,mtl_mse
10,73210,50,5,0,base,0.05,0.03,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.8328869533538819,0.9256440720558167,0.6229090518504381,0.016495730727910995,0.09177038818597794
11,73211,50,5,0,base,0.05,0.03,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.8350050375461578,0.9176417956352234,0.6906088090986013,0.018567819148302078,0.07314316928386688
0,73200,50,5,0,base,0.05,0.04,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.6703301824331284,0.8727482383549213,0.4904264561235905,0.026326457038521767,0.1065031960606575
1,73201,50,5,0,base,0.05,0.04,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.6586234921216965,0.868478774513118,0.5061180277485401,0.025379467755556107,0.10335224866867065
2,73202,50,5,0,base,0.05,0.04,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.6714946626424789,0.8787475371062755,0.5874065310135483,0.02569972164928913,0.09176886081695557
3,73203,50,5,0,base,0.05,0.04,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.6655447037220001,0.8788004729580134,0.48256292211823165,0.026029197499155998,0.10758055746555328
4,73204,50,5,0,base,0.05,0.04,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.6806641825437546,0.87506227106601,0.582301189948339,0.027496976777911186,0.1004749983549118
5,73205,50,5,0,base,0.05,0.04,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.6510198291540146,0.8689572042562067,0.4914952856898308,0.02573123760521412,0.10177718847990036
6,73206,50,5,0,base,0.05,0.04,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.667727386713028,0.8714428533762694,0.5896785655245185,0.02680305391550064,0.08999791741371155
7,73207,50,5,0,base,0.05,0.04,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.6697223908901214,0.8614190309941768,0.5215562964351848,0.028734805062413216,0.10538285970687866
8,73208,50,5,0,base,0.05,0.04,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.6660756427049637,0.869594427190721,0.6140924744829536,0.027017204090952873,0.08868330717086792
9,73209,50,5,0,base,0.05,0.04,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.6645976281166077,0.8637750756926834,0.4485961864357814,0.027767209336161613,0.1125502958893776
10,73210,50,5,0,base,0.05,0.04,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.6657739380598068,0.8654129327321425,0.5543687770180404,0.026494281366467476,0.10302247852087021
11,73211,50,5,0,base,0.05,0.04,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.6700101019144058,0.8615797206107527,0.6179276740252971,0.028585586696863174,0.08414779603481293
0,73200,50,5,0,base,0.05,0.05,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.6703301824331284,0.8727482383549213,0.4904264561235905,0.026326457038521767,0.1065031960606575
1,73201,50,5,0,base,0.05,0.05,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.6586234921216965,0.868478774513118,0.5061180277485401,0.025379467755556107,0.10335224866867065
2,73202,50,5,0,base,0.05,0.05,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.6714946626424789,0.8787475371062755,0.5874065310135483,0.02569972164928913,0.09176886081695557
